# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.2393622952653234e-13  4.6093931634654613e-25  2.4226496049634760e-12  1.0000000000096907e+00  4.2980235303860015e-01
1.0000000000000000e+00  2.9482325360559386e-14  3.2419997857681086e-20  4.3940869035457345e-06  1.0000175763476142e+00  1.0881223873964352e-01
2.0000000000000000e+00  4.6127169236317610e-14  1.3412909467402491e-19  2.9296798965926626e-04  1.0011718719586371e+00  7.3732966491177310e-01
2.9999999999999800e+00  4.9562123778257665e-15  1.7946095565576173e-19  6.0625840416383116e-02  1.2425033616655325e+00  9.2876434200942226e-01
3.9999999999999600e+00  2.0174748939915520e-16  1.4088616943667997e-19  1.5547718844758578e-02  1.0621908753790343e+00  5.1035239391390541e-01
4.9999999999999396e+00  9.8904160072670646e-16  1.3651524939951683e-19  3.9201875939568105e-04  1.0015680750375828e+00  6.2909870971965534e-03
5.9999999999999201e+00  1.5495112294257760e-16  1.1350802697303936e-19  4.7198460930113412e-04  1.0018879384372046e+00  6.1509725673735405e-01
6.9999999999998996e+00  3.2787143966340916e-14  1.0279131566354460e-19  2.8331639158872567e-04  1.0011332655663550e+00  7.3711734453368061e-01
7.9999999999998703e+00  6.3902893190799989e-15  1.1029035836262119e-19  3.0962779572634615e-05  1.0001238511182906e+00  2.9835349279657496e-02
8.9999999999998508e+00  1.4082068260809597e-14  1.4945302517411836e-19  1.7069636685798727e-05  1.0000682785467432e+00  8.4027354845558289e-02
9.9999999999998295e+00  1.8528913236642432e-13  2.9424662381636561e-20  3.9692804431939457e-06  1.0000158771217729e+00  6.2212792578937870e-01
1.0999999999999799e+01  2.4913911274065829e-13  1.4945043525638220e-20  2.8567189620480010e-06  1.0000114268758482e+00  6.7358307739062773e-01
1.1999999999999799e+01  1.3081202755254019e-13  5.1330929757100036e-21  3.7009649919936929e-07  1.0000014803859969e+00  4.4440655514823357e-01
1.2999999999999799e+01  2.3762090216302492e-14  9.7084740837398633e-21  3.4142855240431450e-07  1.0000013657142097e+00  1.7351667567552023e-01
1.3999999999999700e+01  6.0138237944081385e-14  1.8228479177591159e-20  6.8438563890400497e-07  1.0000027375425555e+00  2.3238387425699158e-01
1.4999999999999700e+01  2.0534917742665375e-14  2.3097348630697978e-20  7.0375491577817948e-06  1.0000281501966310e+00  2.7896661109978621e-01
1.5999999999999700e+01  2.1486455665051562e-13  7.2362847948937948e-19  5.5165707225899408e-06  1.0000220662828903e+00  4.8910183594550599e-01
1.6999999999999901e+01  1.3813279095393920e-13  1.7710887308031121e-19  6.1216515336225087e-06  1.0000244866061345e+00  4.3762177604761954e-01
1.8000000000000000e+01  6.9148586354119173e-13  1.8158208885511274e-18  9.6671083276700009e-06  1.0000386684333107e+00  8.0082667391493290e-01
1.9000000000000199e+01  7.2292813525502350e-13  2.8100583817432110e-18  1.0203691444778936e-05  1.0000408147657791e+00  6.5031012555098067e-01
2.0000000000000298e+01  7.9093800757919350e-12  2.9139187270751348e-18  2.1696786990515792e-05  1.0000867871479620e+00  9.0135909235802436e-01
2.1000000000000501e+01  3.6359521248298703e-12  8.8960956679418641e-19  1.0845304246747981e-04  1.0004338121698699e+00  8.9276348836209118e-01
2.2000000000000600e+01  3.0655677116177064e-11  1.6071099852366020e-17  6.5218780001542954e-05  1.0002608751200062e+00  9.4086813231411492e-01
2.3000000000000799e+01  6.0234258246499911e-12  8.5448634239552484e-17  3.9252558960493271e-04  1.0015701023584198e+00  9.1353661118582141e-01
2.4000000000000998e+01  3.0249769762952088e-11  2.9952548804544813e-18  4.3676261048157685e-04  1.0017470504419264e+00  9.5663306777683110e-01
2.5000000000001101e+01  2.0144096169940344e-11  1.5532761028414530e-16  1.1360495655447660e-04  1.0004544198262180e+00  9.2084392539379079e-01
2.6000000000001300e+01  1.1555982038521950e-11  1.8019659448854118e-18  6.5348788800037962e-04  1.0026139515520016e+00  9.5915277391847142e-01
2.7000000000001400e+01  8.7029750250810836e-11  4.6028022648484439e-17  1.9578053830057442e-04  1.0007831221532022e+00  9.6861972797626750e-01
2.8000000000001599e+01  1.4549369061113971e-11  3.4235048138561020e-18  1.3374740095395063e-04  1.0005349896038158e+00  8.9840939168866396e-01
2.9000000000001702e+01  1.4529976558133064e-11  2.3363483628486586e-16  4.5061676111928146e-04  1.0018024670444772e+00  9.4225313245410569e-01
3.0000000000001901e+01  7.3899989477219147e-12  4.4512501177521281e-15  4.7038799494514760e-04  1.0018815519797806e+00  8.4294467161498565e-01
3.1000000000002000e+01  2.0818733606588568e-13  2.5054068671275193e-14  6.2053930895391220e-02  1.2482157235815650e+00  4.9463583635596692e-01
3.2000000000002203e+01  1.7678206896886951e-13  7.5436284411770592e-14  2.3227577443489025e-01  1.9291030977395609e+00  2.2212058662219925e-01
3.3000000000001997e+01  2.1052611709215401e-12  4.3007936291091205e-14  1.0404731003625585e-02  1.0416189240145024e+00  7.6216981843016163e-01
3.4000000000001798e+01  1.3425146759465218e-12  1.4336701280710407e-14  5.4665655575715502e-03  1.0218662622302861e+00  6.1890303107305511e-01
3.5000000000001599e+01  7.3996370221729661e-12  4.5109934706031371e-14  3.1930636588673018e-03  1.0127722546354692e+00  8.8423149015717828e-01
3.6000000000001400e+01  1.1499226288861575e-11  2.2401497070542567e-14  1.1207379135000229e-03  1.0044829516540001e+00  9.0624206320240974e-01
