#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            10.000000           10.000000           14.000000           14.000000           18.000000           18.000000
   0.0100000   -6.1723924606e-03   -2.1418640631e-08   -1.7300979719e-03   -1.4493622890e-10   -6.5667266264e-04    6.1432867895e-11
   0.0200000   -6.1674707360e-03   -2.0814005001e-08   -1.7290817928e-03   -1.3357988495e-10   -6.5638616446e-04    7.2114538188e-11
   0.0300000   -6.1625331979e-03   -2.0344170388e-08   -1.7280607818e-03   -1.2621279917e-10   -6.5609900069e-04    8.9797507380e-11
   0.0400000   -6.1575837331e-03   -1.9835675429e-08   -1.7270353941e-03   -1.2254807677e-10   -6.5581119901e-04    1.1143073057e-10
   0.0500000   -6.1526268020e-03   -1.9086658774e-08   -1.7260062269e-03   -1.2217210590e-10   -6.5552279153e-04    1.3331283782e-10
   0.0600000   -6.1476667028e-03   -1.7897586519e-08   -1.7249739908e-03   -1.2458503622e-10   -6.5523381277e-04    1.5138320611e-10
   0.0700000   -6.1427068601e-03   -1.6101724411e-08   -1.7239394655e-03   -1.2921522752e-10   -6.5494429740e-04    1.6154916566e-10
   0.0800000   -6.1377492371e-03   -1.3591513302e-08   -1.7229034537e-03   -1.3541910696e-10   -6.5465427785e-04    1.6001797445e-10
   0.0900000   -6.1327939478e-03   -1.0337617368e-08   -1.7218667365e-03   -1.4252209946e-10   -6.5436378203e-04    1.4361053264e-10
   0.1000000   -6.1278391233e-03   -6.3983604335e-09   -1.7208300322e-03   -1.4982058620e-10   -6.5407283117e-04    1.1004903981e-10
   0.1100000   -6.1228810492e-03   -1.9184607051e-09   -1.7197939589e-03   -1.5660878775e-10   -6.5378143788e-04    5.8188780579e-11
   0.1200000   -6.1179145570e-03    2.8826309576e-09   -1.7187590042e-03   -1.6217919772e-10   -6.5348960456e-04   -1.1812421729e-11
   0.1300000   -6.1129336203e-03    7.7314243939e-09   -1.7177255019e-03   -1.6585953808e-10   -6.5319732233e-04   -9.8411014304e-11
   0.1400000   -6.1079320771e-03    1.2327655870e-08   -1.7166936169e-03   -1.6702156492e-10   -6.5290457027e-04   -1.9867090044e-10
   0.1500000   -6.1029043862e-03    1.6374791880e-08   -1.7156633378e-03   -1.6508512459e-10   -6.5261131537e-04   -3.0836230920e-10
   0.1600000   -6.0978463192e-03    1.9610518934e-08   -1.7146344787e-03   -1.5954855722e-10   -6.5231751293e-04   -4.2211685705e-10
   0.1700000   -6.0927554985e-03    2.1833670068e-08   -1.7136066877e-03   -1.4998255305e-10   -6.5202310759e-04   -5.3369872740e-10
   0.1800000   -6.0876317119e-03    2.2924762382e-08   -1.7125794631e-03   -1.3605695694e-10   -6.5172803486e-04   -6.3631013974e-10
   0.1900000   -6.0824769625e-03    2.2857951198e-08   -1.7115521750e-03   -1.1754674951e-10   -6.5143222317e-04   -7.2297043594e-10
   0.2000000   -6.0772952465e-03    2.1703404901e-08   -1.7105240918e-03   -9.4327532333e-11   -6.5113559642e-04   -7.8690933239e-10
   0.2100000   -6.0720920871e-03    1.9619889968e-08   -1.7094944099e-03   -6.6396050092e-11   -6.5083807685e-04   -8.2198116049e-10
   0.2200000   -6.0668738810e-03    1.6838778266e-08   -1.7084622849e-03   -3.3854656573e-11   -6.5053958805e-04   -8.2306676495e-10
   0.2300000   -6.0616471400e-03    1.3641176257e-08   -1.7074268632e-03    3.0617862787e-12   -6.5024005835e-04   -7.8642388880e-10
   0.2400000   -6.0564177214e-03    1.0330847118e-08   -1.7063873129e-03    4.3994728292e-11   -6.4993942403e-04   -7.1001213656e-10
   0.2500000   -6.0511901408e-03    7.2058974970e-09   -1.7053428516e-03    8.8485005499e-11   -6.4963763255e-04   -5.9370116700e-10
   0.2600000   -6.0459670528e-03    4.5320245796e-09   -1.7042927719e-03    1.3596563434e-10   -6.4933464542e-04   -4.3942757414e-10
   0.2700000   -6.0407489589e-03    2.5200658136e-09   -1.7032364615e-03    1.8573152387e-10   -6.4903044087e-04   -2.5121942996e-10
   0.2800000   -6.0355341801e-03    1.3099148362e-09   -1.7021734198e-03    2.3703709298e-10   -6.4872501590e-04   -3.5131495381e-11
   0.2900000   -6.0303190910e-03    9.6217515268e-10   -1.7011032688e-03    2.8903230334e-10   -6.4841838787e-04    2.0093849428e-10
