#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            10.000000           10.000000           14.000000           14.000000           18.000000           18.000000
   0.0100000   -4.3023415031e-08   -2.4695100166e-08   -2.4096419441e-10    2.3523296564e-10   -6.9778402996e-12    1.7850237643e-10
   0.0200000   -4.1823971791e-08   -2.4230351879e-08   -2.2462368180e-10    2.1914175681e-10   -3.2765216850e-12    2.0411350767e-10
   0.0300000   -4.0898536464e-08   -2.3926371779e-08   -2.1494250877e-10    2.0364121164e-10    2.8534545678e-12    2.4652487721e-10
   0.0400000   -3.9898738348e-08   -2.3582971344e-08   -2.1145168578e-10    1.8876372163e-10    1.0354979651e-11    2.9843069133e-10
   0.0500000   -3.8419083010e-08   -2.2967088519e-08   -2.1350752995e-10    1.7452529381e-10    1.7965972312e-11    3.5095633866e-10
   0.0600000   -3.6058557366e-08   -2.1848325545e-08   -2.2029395616e-10    1.6094524275e-10    2.4286642384e-11    3.9437188529e-10
   0.0700000   -3.2481560058e-08   -2.0034096857e-08   -2.3088279591e-10    1.4800374861e-10    2.7911243546e-11    4.1887068642e-10
   0.0800000   -2.7471041267e-08   -1.7400098614e-08   -2.4420372281e-10    1.3572445107e-10    2.7531713863e-11    4.1534556650e-10
   0.0900000   -2.0966797580e-08   -1.3912271741e-08   -2.5910814465e-10    1.2411072619e-10    2.2045037679e-11    3.7616578468e-10
   0.1000000   -1.3084664812e-08   -9.6377633171e-09   -2.7435521199e-10    1.1319625043e-10    1.0653573140e-11    2.9586170119e-10
   0.1100000   -4.1142802654e-09   -4.7433917284e-09   -2.8870793299e-10    1.0299618239e-10   -7.0493503534e-12    1.7167722603e-10
   0.1200000    5.5042932154e-09    5.1772019958e-10   -3.0090196782e-10    9.3550143922e-11   -3.1028812218e-11    3.9533438814e-12
   0.1300000    1.5221965683e-08    5.8300600330e-09   -3.0973198384e-10    8.4885723131e-11   -6.0773928993e-11   -2.0361980697e-10
   0.1400000    2.4435422699e-08    1.0847182225e-08   -3.1407802408e-10    7.7031095084e-11   -9.5309263480e-11   -4.4404163848e-10
   0.1500000    3.2548622202e-08    1.5226904109e-08   -3.1292836916e-10    6.9991542619e-11   -1.3318466455e-10   -7.0718536216e-10
   0.1600000    3.9034249151e-08    1.8666526475e-08   -3.0545858528e-10    6.3772757665e-11   -1.7259314659e-10   -9.8022254348e-10
   0.1700000    4.3488035348e-08    2.0933901073e-08   -2.9099490436e-10    5.8315422925e-11   -2.1140405130e-10   -1.2482201856e-09
   0.1800000    4.5670073133e-08    2.1891185316e-08   -2.6912455347e-10    5.3569605623e-11   -2.4729087275e-10   -1.4948954165e-09
   0.1900000    4.5529044992e-08    2.1508702955e-08   -2.3963019690e-10    4.9429324253e-11   -2.7786088857e-10   -1.7035281038e-09
   0.2000000    4.3206734770e-08    1.9867649879e-08   -2.0254765456e-10    4.5774624214e-11   -3.0078509189e-10   -1.8578796523e-09
   0.2100000    3.9023016287e-08    1.7151612643e-08   -1.5818296657e-10    4.2448924493e-11   -3.1393536172e-10   -1.9432159735e-09
   0.2200000    3.3443336143e-08    1.3628117045e-08   -1.0703198523e-10    3.9288264327e-11   -3.1552402145e-10   -1.9472247016e-09
   0.2300000    2.7032505314e-08    9.6221763970e-09   -4.9847017368e-11    3.6109919446e-11   -3.0423819689e-10   -1.8609103668e-09
   0.2400000    2.0400224127e-08    5.4851320589e-09    1.2460113332e-11    3.2744609259e-11   -2.7931538290e-10   -1.6793155441e-09
   0.2500000    1.4143970341e-08    1.5618173106e-09    7.8782484423e-11    2.9031830151e-11   -2.4066044014e-10   -1.4020657059e-09
   0.2600000    8.7954401707e-09   -1.8402469863e-09    1.4791828941e-10    2.4825921428e-11   -1.8886124227e-10   -1.0337187566e-09
