# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            10.000000           10.000000           14.000000           14.000000           18.000000           18.000000
   0.0100000    3.9690728993e-08   -2.3610801571e-08   -4.9341363160e-10   -5.9972372778e-10    2.6000817665e-11   -8.2014320401e-11
   0.0600000    3.3124459810e-08   -2.0935002681e-08   -4.2371860184e-10   -5.1028992820e-10    1.4499164683e-10   -1.1492808648e-10
   0.1100000    3.2321800798e-09   -4.9179170148e-09   -5.0554036861e-10   -4.7325751188e-10    2.2518604676e-11   -8.1175348611e-11
   0.1600000   -3.7062504196e-08    1.6979742934e-08   -5.1844864779e-10   -4.2864680651e-10   -6.1140766816e-10    9.4729656615e-11
   0.2100000   -3.7064070235e-08    1.5546542181e-08   -2.8553070631e-10   -3.2439390624e-10   -1.1410888867e-09    2.4351288714e-10
   0.2600000   -8.8382918430e-09   -2.2210173912e-09    1.8412023070e-10   -1.2500468332e-10   -6.3978821638e-10    1.0814283628e-10
   0.3100000   -5.4399796319e-09   -5.6264904916e-09    6.9470980024e-10    1.5623655723e-10    8.5473480290e-10   -3.0427309041e-10
   0.3600000   -2.6840384148e-08    5.3979757425e-09    1.0080210319e-09    4.1856632175e-10    1.9645189813e-09   -6.1581653685e-10
   0.4100000   -3.8864803478e-08    1.1110079339e-08    9.8971482243e-10    5.0911335726e-10    1.2272659340e-09   -4.2029862936e-10
   0.4600000   -4.2704081571e-08    1.2155258254e-08    6.4916438703e-10    3.3754686021e-10   -1.1959886935e-09    2.4498421238e-10
   0.5100000   -5.7488115061e-08    1.9570257068e-08    9.9903215049e-11   -3.9791202328e-11   -3.3041805788e-09    8.3312875718e-10
   0.5600000   -7.5426238312e-08    2.8873438545e-08   -4.8757440552e-10   -4.5635553190e-10   -3.0510657290e-09    7.7787119422e-10
   0.6100000   -7.6669763355e-08    2.8587786225e-08   -9.3178615873e-10   -7.5002508299e-10   -4.6483207377e-10    7.9950018671e-11
   0.6600000   -6.4146603356e-08    2.0345209496e-08   -1.1032697232e-09   -8.4477831826e-10    2.1638597863e-09   -6.3871163871e-10
   0.7100000   -5.9476405763e-08    1.6603833989e-08   -9.7496156103e-10   -7.5024718468e-10    2.4179345527e-09   -7.2338749191e-10
   0.7600000   -6.9923981679e-08    2.1577329453e-08   -6.1054365712e-10   -5.1841193956e-10    1.5100513001e-10   -1.3550786874e-10
   0.8100000   -8.8294543082e-08    3.1132555799e-08   -1.0317447403e-10   -2.0733808520e-10   -2.3317323139e-09    5.1769825654e-10
   0.8600000   -1.0898348555e-07    4.2017185161e-08    4.7015562897e-10    1.3487168391e-10   -2.5812667122e-09    6.0551360403e-10
   0.9100000   -1.1590904057e-07    4.4911786896e-08    1.0457598022e-09    4.7178685034e-10   -4.8313262982e-10    9.3435879900e-11
   0.9600000   -1.0165291665e-07    3.5543505709e-08    1.5528380135e-09    7.6902110919e-10    1.6433594455e-09   -4.5791411936e-10
   1.0100000   -9.1103393848e-08    2.8320388380e-08    1.9148489177e-09    9.8459079610e-10    1.4478345421e-09   -4.6368916910e-10
   1.0600000   -1.0153335962e-07    3.3224904257e-08    2.0744937266e-09    1.0776709333e-09   -1.0028665863e-09    1.2495650376e-10
   1.1100000   -1.2055655379e-07    4.3103419136e-08    2.0220842798e-09    1.0356409634e-09   -3.2495728993e-09    7.6496728469e-10
   1.1600000   -1.3284492547e-07    4.9145452691e-08    1.8091217357e-09    8.9252258993e-10   -2.9379740685e-09    8.0270489294e-10
   1.2100000   -1.3494600016e-07    4.9348213988e-08    1.5343357203e-09    7.1599072268e-10   -2.4953992623e-10    1.0933297268e-10
   1.2600000   -1.3231527547e-07    4.6630724756e-08    1.2998164832e-09    5.7267977277e-10    2.2412956285e-09   -6.9647299091e-10
   1.3100000   -1.3218575161e-07    4.4880681200e-08    1.1646672380e-09    4.9941873266e-10    2.1679199763e-09   -7.7945154916e-10
   1.3600000   -1.3811687384e-07    4.6323359743e-08    1.1352858456e-09    4.9692291158e-10   -2.5204900593e-10    9.3876279271e-12
   1.4100000   -1.4797086509e-07    5.0429047794e-08    1.1915295892e-09    5.4282450360e-10   -2.5350433229e-09    8.5139943221e-10
   1.4600000   -1.5604836223e-07    5.4315742780e-08    1.3069019105e-09    6.1161704818e-10   -2.5533655644e-09    8.0970561579e-10
   1.5100000   -1.6033180970e-07    5.6310217628e-08    1.4432116284e-09    6.8714948089e-10   -6.3206129740e-10   -6.0200412227e-11
   1.5600000   -1.6248316266e-07    5.6744332029e-08    1.5517934574e-09    7.5875966534e-10    1.0241654811e-09   -7.3561696694e-10
   1.6100000   -1.6312187873e-07    5.6220695571e-08    1.6031983071e-09    8.0878752204e-10    7.5303543143e-10   -4.5098637594e-10
   1.6600000   -1.6397589524e-07    5.5979390502e-08    1.6082365242e-09    8.1431787624e-10   -9.5999950729e-10    4.0801934555e-10
   1.7100000   -1.6945780869e-07    5.7511479427e-08    1.5926621435e-09    7.6921685226e-10   -2.1992932247e-09    8.6059509528e-10
   1.7600000   -1.8067578153e-07    6.0693737819e-08    1.5631245935e-09    7.0146274954e-10   -1.6492652394e-09    5.2289537094e-10
   1.8100000   -1.9079185764e-07    6.3716904021e-08    1.5252143284e-09    6.5910212997e-10    1.6282165589e-10   -1.1341726905e-10
   1.8600000   -1.9228596683e-07    6.5206448035e-08    1.5278020990e-09    6.7773416432e-10    1.4650459254e-09   -4.5393049551e-10
   1.9100000   -1.8802781606e-07    6.5367173697e-08    1.6447889689e-09    7.6723474136e-10    9.8422477796e-10   -4.0916625256e-10
   1.9600000   -1.8880859223e-07    6.5213694451e-08    1.8914583256e-09    9.2706400495e-10   -8.0305439349e-10   -1.9104748354e-10
   2.0100000   -1.9878919150e-07    6.5760080706e-08    2.1885299736e-09    1.1562952046e-09   -2.1234019049e-09    7.2135817010e-11
   2.0600000   -2.0934286256e-07    6.7349656419e-08    2.4401910997e-09    1.4369763536e-09   -1.7271220264e-09    3.1347616533e-10
   2.1100000   -2.1164805125e-07    6.9443990638e-08    2.6277016987e-09    1.7163022958e-09   -2.4104971951e-10    4.2190737685e-10
   2.1600000   -2.0939304935e-07    7.1298972521e-08    2.7889604223e-09    1.9235727766e-09    5.2825687290e-10    4.0260078358e-10
   2.2100000   -2.1204406824e-07    7.2472281832e-08    2.9203223637e-09    2.0088753755e-09   -3.0185551637e-10    4.2616723809e-10
   2.2600000   -2.2059937375e-07    7.2846799185e-08    2.9530028427e-09    1.9583648947e-09   -1.6148537164e-09    4.8785752874e-10
   2.3100000   -2.2782336779e-07    7.2768672607e-08    2.8452581946e-09    1.7734098482e-09   -1.6047815344e-09    2.4870514450e-10
