# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  -4.9214809540551427e-07  1.6233598192365480e-17  -3.9499885991183882e-08  3.2883341024739037e-18
8.0000000000000004e-01  2.2389275887281221e-08  -3.8155446142017213e-17  -3.5941616816285825e-08  2.1048654422908709e-16
1.6000000000000001e+00  -1.2665197317502911e-07  6.7269450846805211e-17  -3.1599269198130867e-08  1.0717611279185231e-16
2.3999999999999901e+00  1.4105545907614594e-07  4.7709342512335280e-17  -2.6077304938364037e-08  8.5645458406211608e-17
3.1999999999999802e+00  3.7531590356898455e-07  -6.8338829942713765e-17  -1.5816770682678186e-08  1.0049246035519935e-16
3.9999999999999600e+00  1.1587923779595520e-06  -7.7514949618556414e-17  -2.8920316615656380e-08  1.9913774368450653e-16
4.7999999999999403e+00  1.8122943818311094e-06  1.2431669632790871e-16  3.8952969292189916e-08  2.6614688244690253e-16
5.5999999999999304e+00  2.4512865103082566e-06  9.3131272550610322e-19  3.9004257624094559e-08  3.5645946261398328e-16
6.3999999999999098e+00  2.9934207549139563e-06  2.0168489748835332e-17  1.7144887179042694e-08  -2.9103194943107032e-16
7.1999999999998900e+00  2.9047553358854628e-06  1.1144010146374884e-16  1.2017471010475588e-07  -7.9044297780372799e-15
7.9999999999998703e+00  2.8780222752907625e-06  7.5587949663552881e-17  1.8914890395632816e-07  2.4692732476766737e-14
8.7999999999998604e+00  2.1511239310660039e-06  -7.8589622670385308e-17  2.3716686297496224e-07  4.1855018378323414e-14
9.5999999999998398e+00  1.8126949603819974e-06  -1.2164790726934722e-16  4.8853221325509861e-07  -7.0558202955571809e-13
1.0399999999999800e+01  1.8557920644071748e-06  1.0747192151245189e-15  6.0216983319507929e-07  2.3070065917403047e-12
1.1199999999999800e+01  2.0149821425655618e-06  -4.3957647241697588e-15  9.3012918057199931e-07  -3.2688546178190827e-12
1.1999999999999799e+01  2.2654448087991712e-06  1.8101362168752204e-14  1.4760412048640565e-06  3.2260935558868635e-12
1.2799999999999800e+01  2.7568310316267985e-06  -6.1433014157704475e-14  1.9436475898320850e-06  -3.6183513265895893e-12
1.3599999999999801e+01  3.2387309825175108e-06  1.8776677143049177e-13  2.3389346509523825e-06  5.1748150847123298e-13
1.4399999999999700e+01  3.6030350279418470e-06  -4.5795745604348449e-13  2.3243502099347697e-06  4.1316859971575686e-12
1.5199999999999701e+01  3.8238792570043939e-06  5.9753824194628733e-13  2.1588292599231998e-06  -5.4256748494799266e-12
1.5999999999999700e+01  4.1323830538088977e-06  4.2798687487122548e-13  1.5337993764764119e-06  2.9062248951155450e-12
1.6799999999999802e+01  4.5172044651923198e-06  -1.2306535460730403e-12  7.2658769568158984e-07  -7.4859631510929858e-13
1.7600000000000001e+01  4.9019356273030940e-06  -8.8476788007800489e-13  1.0978215094205130e-07  -9.1804212309220648e-14
1.8400000000000102e+01  5.3254593452878695e-06  1.3874128998176815e-12  -1.0458509155521370e-07  -6.4995661510271517e-12
1.9200000000000198e+01  5.7551094348996323e-06  7.7422796436125822e-13  -2.5310190581103837e-07  -4.5464600196181376e-12
2.0000000000000298e+01  6.1695673214423974e-06  -5.6136489050910804e-12  -8.6805348465633434e-08  1.3102459433940542e-11
2.0800000000000502e+01  6.6093159279432401e-06  -1.2586623905326563e-11  2.1505611497675817e-07  1.0449059470101121e-11
2.1600000000000598e+01  7.0762256242287581e-06  -2.0351679543642259e-11  4.3440684796663610e-07  -5.7634448264501982e-12
2.2400000000000698e+01  7.5572102920345766e-06  -2.6024992300961256e-11  4.9480450583961087e-07  -2.8070834677265542e-12
2.3200000000000799e+01  8.0404064946852778e-06  -1.7902905882820219e-11  4.4890604960824745e-07  7.7744412061163875e-12
2.4000000000000998e+01  8.5248621513820296e-06  5.2352607917411482e-12  4.9554166607086776e-07  1.5481078559969838e-11
2.4800000000001098e+01  9.0194095677358049e-06  1.6706935422355662e-11  6.2411832792242478e-07  1.6563141450633383e-11
2.5600000000001199e+01  9.5204800916107180e-06  5.7978700261446397e-11  7.2369480265009286e-07  -4.8370318047289708e-12
2.6400000000001299e+01  1.0017414723226066e-05  8.1262156177003535e-11  8.3247320439354831e-07  -7.6964923788888913e-12
2.7200000000001499e+01  1.0501936642060441e-05  1.9741560312648316e-11  9.5401145319248573e-07  2.1641887221603185e-11
2.8000000000001599e+01  1.0974673763319002e-05  4.3466512988476601e-11  1.0609114658471374e-06  2.6425822829053102e-11
2.8800000000001699e+01  1.1447536903348292e-05  1.3187035500082130e-10  1.1708940596310480e-06  -1.4037413301743865e-12
2.9600000000001799e+01  1.1931355562179947e-05  4.6003310508630160e-11  1.2818459130414163e-06  2.0781222975104028e-11
3.0400000000001999e+01  1.2425871862427212e-05  -6.1338890975903070e-11  1.3861495845402036e-06  4.6452370903322578e-11
