# time  chi_mean_R8  chi_min_R8  chi_max_R8  lapse_mean_R8  lapse_min_R8  lapse_max_R8  K_mean_R8  K_min_R8  K_max_R8  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16
0.0000000000000000e+00  1.0000059169640303e+00  9.9264988579940716e-01  1.0073939637262326e+00  9.9999605289828719e-01  9.9594531167825118e-01  1.0040564874484976e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  1.0000027107027096e+00  9.9870720600541452e-01  1.0013012885579105e+00  9.9999723740770730e-01  9.9935576224323674e-01  1.0006386832137766e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  1.0000059213938268e+00  9.9264902109911091e-01  1.0073939902448688e+00  9.9999604306333190e-01  9.9594317529473930e-01  1.0040615927126264e+00  -2.5637584148142930e-08  -3.6206911495349540e-05  3.8364806361500908e-05  1.0000027096554600e+00  9.9870723924753346e-01  1.0013012511466302e+00  9.9999724054531858e-01  9.9935573445058312e-01  1.0006387241865333e+00  -3.9681874777045085e-09  -1.1763985851890140e-07  1.0257661103747749e-07
1.6000000000000001e+00  1.0000058504983844e+00  9.9264476644916444e-01  1.0073974824025034e+00  9.9999626089978488e-01  9.9595330645820834e-01  1.0040576166413666e+00  -1.5356953096987804e-07  -2.6242734322128702e-05  3.0912071029279353e-05  1.0000027064594672e+00  9.9870729773829992e-01  1.0013011783821317e+00  9.9999725012647822e-01  9.9935562718746962e-01  1.0006388671387116e+00  -8.0212329560922151e-09  -1.3606206242444986e-07  1.0213263287404101e-07
2.3999999999999901e+00  1.0000057077240627e+00  9.9263870755763484e-01  1.0074081843063929e+00  9.9999669424163840e-01  9.9598324803466243e-01  1.0040201061434091e+00  -2.8277046778517073e-07  -1.4284791946092606e-05  1.3301350308491184e-05  1.0000027007139964e+00  9.9870754676110707e-01  1.0013009029206488e+00  9.9999726698273395e-01  9.9935510694928176e-01  1.0006394623152859e+00  -1.3112498303909087e-08  -4.7488804915677124e-07  3.9513514106393281e-07
3.1999999999999802e+00  1.0000055722660650e+00  9.9265108478125375e-01  1.0073981621366690e+00  9.9999716791921300e-01  9.9596133545291665e-01  1.0040359105333172e+00  -2.1915719675629465e-07  -1.2166826172480350e-05  1.3809667519800741e-05  1.0000026938969340e+00  9.9870713707070558e-01  1.0013013422255319e+00  9.9999728848435154e-01  9.9935607349902189e-01  1.0006384122427481e+00  -1.5464489903459416e-08  -1.3699666139150047e-06  1.2345691842941187e-06
3.9999999999999600e+00  1.0000056073985144e+00  9.9264978664847514e-01  1.0074047255787653e+00  9.9999727358715051e-01  9.9596147950631686e-01  1.0040214483843257e+00  1.6633794107009800e-07  -1.0319885386436558e-05  8.9309478572281252e-06  1.0000026704333651e+00  9.9871074435275264e-01  1.0012967399463446e+00  9.9999734507713156e-01  9.9934830644946515e-01  1.0006484874937367e+00  -6.2194601635993197e-08  -8.4348723651042155e-06  7.1794499895143652e-06
4.7999999999999403e+00  1.0000057832792020e+00  9.9264788060045672e-01  1.0074082043965666e+00  9.9999690017410492e-01  9.9596388859294860e-01  1.0040089546914654e+00  2.1947398537288836e-07  -1.0134343030657688e-05  1.3224016114455674e-05  1.0000026181748258e+00  9.9871201971956436e-01  1.0012959052505115e+00  9.9999748046980397e-01  9.9934266474975808e-01  1.0006537168600660e+00  -9.9166786794821011e-08  -8.9990271364236621e-06  7.2956709837338581e-06
5.5999999999999304e+00  1.0000058997419479e+00  9.9265562857065570e-01  1.0073913343347858e+00  9.9999653088710638e-01  9.9594730060462877e-01  1.0040366191951604e+00  3.3954507736905731e-07  -2.8272965880351445e-05  1.8629382817390134e-05  1.0000025682953915e+00  9.9871083091687418e-01  1.0012970004091446e+00  9.9999763151388121e-01  9.9934471269181646e-01  1.0006516813070316e+00  -8.4316812262173988e-08  -7.9530338340907567e-06  6.5462272696048508e-06
6.3999999999999098e+00  1.0000059362546878e+00  9.9265740600668717e-01  1.0073823196161598e+00  9.9999620739050787e-01  9.9593074455476038e-01  1.0040676435832603e+00  1.7134838970867619e-07  -3.3780674923440519e-05  2.5907096575323291e-05  1.0000025132131720e+00  9.9871063188182374e-01  1.0012968431487521e+00  9.9999778930271421e-01  9.9934551921486781e-01  1.0006517037206142e+00  -1.2627726302572028e-07  -6.9046891112843491e-06  5.7530221526686848e-06
7.1999999999998900e+00  1.0000059790533036e+00  9.9265465476039783e-01  1.0073823205592953e+00  9.9999589234809005e-01  9.9593373565867804e-01  1.0040727201196573e+00  2.3274099590953497e-07  -2.0669225969495291e-05  1.4953530013515765e-05  1.0000024253377495e+00  9.9871046675006558e-01  1.0012968211512472e+00  9.9999803032995604e-01  9.9934604489422363e-01  1.0006520116821171e+00  -1.7486967744733816e-07  -5.9026359905967630e-06  5.1188847420574188e-06
