# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000    2.9097314408e-06    1.7666094450e-04    3.2623264958e-07    4.2213561088e-05    9.4482445162e-08    1.3403870003e-05    1.1656072908e-08    6.9731023570e-06
   0.0600000    3.1815062527e-06    1.7722625079e-04    3.6425296911e-07    4.2441058903e-05    1.0342365304e-07    1.3429525752e-05    7.0810581507e-08    6.5322018875e-06
   0.1100000    3.4594589405e-06    1.7794082471e-04    4.0750470457e-07    4.2683538990e-05    1.1348473277e-07    1.3529990117e-05    9.0651091251e-08    5.9678989031e-06
   0.1600000    3.7431140839e-06    1.7844533693e-04    4.6200399658e-07    4.2972342000e-05    1.2356892320e-07    1.3689603611e-05    6.8667417511e-08    5.4264100354e-06
   0.2100000    4.0318707034e-06    1.7846082446e-04    5.2466180774e-07    4.3364715117e-05    1.3236225569e-07    1.3888203516e-05    5.9437702280e-09    5.0015831634e-06
   0.2600000    4.3250200387e-06    1.7790243677e-04    5.8382757939e-07    4.3877651653e-05    1.3881469038e-07    1.4103500968e-05   -9.3803869582e-08    4.7412379957e-06
   0.3100000    4.6219928876e-06    1.7690684776e-04    6.2833738321e-07    4.4451171685e-05    1.4253744647e-07    1.4313536799e-05   -2.2513453954e-07    4.6558203672e-06
   0.3600000    4.9230418827e-06    1.7576537990e-04    6.5617083582e-07    4.4961698153e-05    1.4400124549e-07    1.4498939824e-05   -3.8166117327e-07    4.7279295614e-06
   0.4100000    5.2293096061e-06    1.7479757402e-04    6.7565532327e-07    4.5277509848e-05    1.4447894276e-07    1.4644748842e-05   -5.5667796706e-07    4.9216698394e-06
   0.4600000    5.5417774257e-06    1.7422409343e-04    6.9960768025e-07    4.5325391819e-05    1.4574787239e-07    1.4741620523e-05   -7.4363065716e-07    5.1911112919e-06
   0.5100000    5.8603157828e-06    1.7409273156e-04    7.3744368811e-07    4.5131958847e-05    1.4963522469e-07    1.4786322901e-05   -9.3643482263e-07    5.4874215840e-06
   0.5600000    6.1840525574e-06    1.7428165424e-04    7.8989348007e-07    4.4816991080e-05    1.5753174194e-07    1.4781499628e-05   -1.1296591768e-06    5.7644531706e-06
   0.6100000    6.5124478908e-06    1.7456714322e-04    8.4934376704e-07    4.4541644845e-05    1.7000706574e-07    1.4734773965e-05   -1.3186014078e-06    5.9827434000e-06
