# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  2.0290032560464218e-04  -7.4431929747592010e-07  -9.3695235770499183e-07  -6.0373431693884053e-07  -1.6813385029983775e-04  -1.1374805448677999e-17  -9.3695235609096039e-07  6.0373431532638530e-07  2.0290032560461708e-04  7.4431929746739927e-07  1.3227291737705082e-05  -6.5081461875584589e-09  -2.2816407512067341e-08  -1.4642169957128659e-08  -1.0878517600898606e-05  -7.3198519350185253e-18  -2.2816404260005254e-08  1.4642166752975829e-08  1.3227291737726986e-05  6.5081461651618192e-09
3.9999999999999600e+00  2.0288459157038571e-04  -7.3557251798585502e-07  -1.0379856430534662e-06  -5.9776004954010330e-07  -1.6827364969351316e-04  -1.9061057697771378e-16  -1.0379856428999228e-06  5.9776004884558837e-07  2.0288459157053457e-04  7.3557251831379377e-07  1.3318545054339096e-05  -6.2120970516023679e-09  -3.2473957448516419e-08  -1.4283996157536526e-08  -1.0968789646366284e-05  -1.9993749928928648e-15  -3.2473951292799766e-08  1.4283994195299795e-08  1.3318545054510293e-05  6.2120773399622513e-09
7.9999999999998703e+00  2.0323826992159642e-04  -7.2400200365417131e-07  -9.0002453307055680e-07  -5.8612107698581993e-07  -1.6831349577135622e-04  -8.4243991109781390e-17  -9.0002453325044627e-07  5.8612107674562044e-07  2.0323826992210960e-04  7.2400200431616165e-07  1.3221593004500335e-05  -5.5586149268388610e-09  -3.7625455403707950e-08  -7.5010825195669147e-09  -1.0884124149739560e-05  -5.3167064754997983e-12  -3.7625450791840769e-08  7.5090699951444006e-09  1.3221591765529088e-05  5.5043095865224951e-09
1.1999999999999799e+01  2.0245758391361800e-04  -7.2297049673495547e-07  -9.4688448307018677e-07  -5.8538941524397638e-07  -1.6779450308328225e-04  1.2262326814333027e-13  -9.4688181988919105e-07  5.8538843346086979e-07  2.0245758497537466e-04  7.2297101653767714e-07  1.3559418386179665e-05  -4.7552048784708604e-09  -5.8645674409798818e-08  -1.5195163633587312e-08  -1.1199449986495708e-05  -2.4245034100272032e-11  -5.8983036353863119e-08  1.5298949473695927e-08  1.3559500358923209e-05  5.0589838684365661e-09
1.5999999999999700e+01  2.0293891886823766e-04  -7.2179890755073942e-07  -9.5798782678107160e-07  -5.8432615237885228e-07  -1.6819933489943309e-04  2.4803169176913119e-12  -9.5786525959780795e-07  5.8441741832915313e-07  2.0293899411438077e-04  7.2154337117935424e-07  1.3444397340574609e-05  -8.6739652943117859e-09  -3.4773787692701386e-08  -4.9051855439943415e-09  -1.1052563599928151e-05  -5.5652664341958478e-12  -3.4632858954027003e-08  4.9227639665723986e-09  1.3444311982492272e-05  8.5012352419481983e-09
2.0000000000000298e+01  2.0327546651914674e-04  -7.2199389851433749e-07  -9.6098480724850362e-07  -5.8416955291866857e-07  -1.6848222448089765e-04  3.5232653774023651e-12  -9.6092372331495158e-07  5.8425125869532751e-07  2.0327528280162218e-04  7.2149398164132620e-07  1.2490288743160362e-05  -9.0324311463414169e-09  -1.6645742660897979e-08  -1.9472287120806932e-08  -1.0301473647146943e-05  -1.8432553798740413e-11  -1.6494563380259394e-08  1.9453873827275241e-08  1.2490376711832588e-05  8.6509419532386600e-09
2.4000000000000998e+01  2.0326295468320004e-04  -7.2618630411801446e-07  -9.7020536164007983e-07  -5.8584487560825056e-07  -1.6847921706821553e-04  -9.2007029821618687e-11  -9.6930544825935434e-07  5.8580526883754789e-07  2.0326306111815293e-04  7.2531542404652880e-07  1.2957542941639730e-05  -7.6552194130688368e-09  -2.4202352233638766e-08  -1.2606116495027380e-08  -1.0650308247618268e-05  -4.4191178747610826e-11  -2.4082232720278740e-08  1.2700698143775578e-08  1.2957776820490388e-05  6.7452539889805084e-09
2.8000000000001599e+01  2.0351719148507929e-04  -7.2898861726816685e-07  -9.7644640286737451e-07  -5.8772387250025489e-07  -1.6870057170573232e-04  1.4899378658143463e-10  -9.7648092371021704e-07  5.8794884968589962e-07  2.0351723250528150e-04  7.3050925228149312e-07  1.3339671976124491e-05  -6.6649934486166703e-09  -2.3361581137378722e-08  -1.5383943806208135e-08  -1.0974093225215350e-05  -4.9176648172883135e-11  -2.2375553039467852e-08  1.5329240297841585e-08  1.3340759714552341e-05  7.3443628905421436e-09
3.2000000000002203e+01  2.0378877064062450e-04  -7.3061054628912112e-07  -9.8458810749649516e-07  -5.8624101573692736e-07  -1.6893949604426860e-04  5.2996176597335956e-11  -9.8241651341873771e-07  5.8633597320291442e-07  2.0379365249167264e-04  7.3239383482407173e-07  1.3184993934337738e-05  -7.9626494965004179e-09  -2.3981418657750136e-08  -1.5310830424027637e-08  -1.0849802259790497e-05  -3.4493709667285516e-10  -2.2886571155863714e-08  1.5647477727597769e-08  1.3187475514694648e-05  7.0528456442528566e-09
3.6000000000001400e+01  2.0413132554786875e-04  -7.3444103487324787e-07  -9.9397223497907014e-07  -5.8230381710502943e-07  -1.6924238484058524e-04  2.4930067238123279e-11  -9.9042039959575963e-07  5.8267509175324195e-07  2.0414722577684365e-04  7.3527178084637680e-07  1.3227898929487458e-05  -5.3571365421454545e-09  -2.6545061955774574e-08  -1.2412087985491992e-08  -1.0877467769860282e-05  -3.3105877102559807e-10  -2.5011793345131068e-08  1.4669059074963219e-08  1.3231333323785224e-05  8.8789434215325799e-09
