# Claims ledger, area 'mergers': the head-on merger, the spiral merger (merger or escape, plunge and collapse, the curvature wall), controls and systematics.
# Columns and rules: claims.py --help.  Extractors: extract_mergers.py (conventions in its docstring).  Anchors also cover re-quotes in the abstract, captions, GW section, Discussion and Limitations.
id	tex	num	tol	status	extractor	args	anchors	source	checked	note
clmHeadonSeparation	8	8		def	mergers_separation	{"run": "merge_headon_flip_d8_v1_t100"}	Released from rest at $d=8$ with || The head-on merger ($d=8$ from rest	campaign/04_binary_headon/merge_headon_flip_d8_v1_t100/evolution_params.txt (wormhole_centerA/B = -+4)		every d = 8 head-on arm (scout, level-5, down-step, fill twins, ensemble, gauge arms) shares it
clmHeadonContact	20	20	abs:1	auto	mergers_first_time	{"run": "merge_headon_flip_d8_v1_t100", "file": "binary_throat_diagnostics.dat", "col": "separation", "op": "<=", "threshold": 2.5}	reaches contact at $t\approx20$ while	campaign/04_binary_headon/merge_headon_flip_d8_v1_t100/binary_throat_diagnostics.dat		contact = chi-pit separation first <= 2.5, the --contact default of results/merger/analysis/placement_curve.py; 19.95 on the level-3 scout (README 'contact 19.9'), 20.15 on the level-5 arm. approximate (~ / \approx in the text): tolerance one unit of the last printed digit.
clmHeadonMotsTime	22	22		auto	first	{"run": "merge_headon_flip_d8_v1_t100", "file": "horizon_offline_scan.dat", "col": "time"}	common MOTS encloses them from $t=22$: || common-MOTS formation ($t=22$)	campaign/04_binary_headon/merge_headon_flip_d8_v1_t100/horizon_offline_scan.dat (offline oriented scan, level 3, dx 0.0625)		first row of the offline formation scan (t = 22-26); the level-5 arm's live scan first finds it at 21.5
clmHeadonMotsCoordRadius	3.17	3.17		auto	first	{"run": "merge_headon_flip_d8_v1_t100", "file": "horizon_offline_scan.dat", "col": "r_mots"}	finds it at $r=3.17$ with	campaign/04_binary_headon/merge_headon_flip_d8_v1_t100/horizon_offline_scan.dat, t = 22 row		
clmHeadonMotsRadius	5.56	5.56		auto	first	{"run": "merge_headon_flip_d8_v1_t100", "file": "horizon_offline_scan.dat", "col": "R_mots"}	areal radius $R=5.56$ (	campaign/04_binary_headon/merge_headon_flip_d8_v1_t100/horizon_offline_scan.dat, t = 22 row		
clmHeadonMotsMass	2.99	2.99		auto	first	{"run": "merge_headon_flip_d8_v1_t100", "file": "horizon_offline_scan.dat", "col": "M_MS_mots"}	($M_{\rm MS}=2.99$; Fig	campaign/04_binary_headon/merge_headon_flip_d8_v1_t100/horizon_offline_scan.dat, t = 22 row		
clmHeadonIrreducibleMass	2.8	2.8	abs:0.1	auto	expr	{"formula": "R/2", "R": {"fn": "first", "run": "merge_headon_flip_d8_v1_t100", "file": "horizon_offline_scan.dat", "col": "R_mots"}}	mass $R/2\approx2.8$ exceeds	campaign/04_binary_headon/merge_headon_flip_d8_v1_t100/horizon_offline_scan.dat, t = 22 row		R/2 = 2.782. approximate (~ / \approx in the text): tolerance one unit of the last printed digit.
clmHeadonADMMass	2	2		def	mergers_total_mass	{"run": "merge_headon_flip_d8_v1_t100"}	initial data's ADM mass of $2$, || from pairs of ADM mass $2$,	campaign/04_binary_headon/merge_headon_flip_d8_v1_t100/evolution_params.txt (wormhole_drainhole_mass_A + _B = 1 + 1)		the Discussion's 'pairs of ADM mass 2' covers the spiral too (same masses, v2_spiral_* params)
clmHeadonEnsembleKick	10^{-2}	0.01		def	param	{"run": "merge_headon_flip_d8_v1c_eps_p1e2_t100", "key": "wormhole_seed_amplitude_A"}	carrying $\varepsilon=\pm10^{-2}$ on both	campaign/04_binary_headon/merge_headon_flip_d8_v1c_eps_p1e2_t100/evolution_params.txt (and merge_headon_flip_d8_v1c_eps_m1e2_t100: -0.01)		B defaults to A, so both throats carry the kick (registry)
clmHeadonEnsembleMotsTime	22.0	22.0		auto	mergers_mots_first_all	{"runs": ["merge_headon_flip_d8_v1c_eps_p1e2_t100", "merge_headon_flip_d8_v1c_eps_m1e2_t100"]}	same surface at $t=22.0$, radius	campaign/04_binary_headon/merge_headon_flip_d8_v1c_eps_p1e2_t100/horizon_scan.dat and campaign/04_binary_headon/merge_headon_flip_d8_v1c_eps_m1e2_t100/horizon_scan.dat (live oriented scan, centre C)		the later of the two members' first MOTS rows; both are 22.0
