# Claims ledger, area 'detector': Table I's run counts, the pattern-matching section (strain, validation,
# fitting factors, the O3b search, ringdown, bursts), the Discussion's own numbers (no-inspiral budget, heavy
# seeds, Limitations) and reproducibility/cost.  Extractors: extract_detector.py; Table I map: table1_groups.tsv.
# Columns and rules: claims.py --help.  Rows with tol abs:0.5 and an exponent in num compare log10 (order of magnitude).
id	tex	num	tol	status	extractor	args	anchors	source	checked	note
clmDetRunsLoneThroat	9	9		auto	detector_table1_runs	{"group": "lone throat"}	& 9 & \ref{sec:single} &	claims/table1_groups.tsv + the pack (every run_tail*.log directory under campaign/)	2026-09-26	count of runs mapped to this group; ERROR if a mapped run is not packed or its name is packed twice
clmDetRunsSphericalKicks	10	10		auto	detector_table1_runs	{"group": "spherical kicks"}	& 10 & \ref{sec:single:branching}	claims/table1_groups.tsv + the pack (every run_tail*.log directory under campaign/)	2026-09-26	count of runs mapped to this group; ERROR if a mapped run is not packed or its name is packed twice
clmDetRunsQuadKicks	6	6		auto	detector_table1_runs	{"group": "quadrupolar kicks"}	& 6 & \ref{sec:single:gw}	claims/table1_groups.tsv + the pack (every run_tail*.log directory under campaign/)	2026-09-26	count of runs mapped to this group; ERROR if a mapped run is not packed or its name is packed twice
clmDetRunsScalarReruns	3	3		auto	detector_table1_runs	{"group": "scalar-stream re-runs"}	& 3 & \ref{sec:gw:censorship}	claims/table1_groups.tsv + the pack (every run_tail*.log directory under campaign/)	2026-09-26	count of runs mapped to this group; ERROR if a mapped run is not packed or its name is packed twice
clmDetRunsPairAtRest	9	9		auto	detector_table1_runs	{"group": "two throats at rest"}	& 9 & \ref{sec:pair} &	claims/table1_groups.tsv + the pack (every run_tail*.log directory under campaign/)	2026-09-26	count of runs mapped to this group; ERROR if a mapped run is not packed or its name is packed twice
clmDetRunsPlacement	18	18		auto	detector_table1_runs	{"group": "placement probes"}	& 18 & \ref{sec:pair:placement}	claims/table1_groups.tsv + the pack (every run_tail*.log directory under campaign/)	2026-09-26	count of runs mapped to this group; ERROR if a mapped run is not packed or its name is packed twice
clmDetRunsHeadon	10	10		auto	detector_table1_runs	{"group": "head-on, d=8"}	& 10 & \ref{sec:headon} &	claims/table1_groups.tsv + the pack (every run_tail*.log directory under campaign/)	2026-09-26	count of runs mapped to this group; ERROR if a mapped run is not packed or its name is packed twice; includes merge_headon_flip_d12 (a d=12 head-on) although the label says d=8
clmDetRunsHalfMass	2	2		auto	detector_table1_runs	{"group": "half-mass, m=0.5"}	& 2 & \ref{sec:headon:halfmass}	claims/table1_groups.tsv + the pack (every run_tail*.log directory under campaign/)	2026-09-26	count of runs mapped to this group; ERROR if a mapped run is not packed or its name is packed twice
clmDetRunsVacuumBBH	3	3		auto	detector_table1_runs	{"group": "vacuum BBH"}	& 3 & \ref{sec:controls:bbh}	claims/table1_groups.tsv + the pack (every run_tail*.log directory under campaign/)	2026-09-26	count of runs mapped to this group; ERROR if a mapped run is not packed or its name is packed twice
clmDetRunsConstraintSolved	1	1		auto	detector_table1_runs	{"group": "constraint-solved data"}	xttt{GRTresna} bridge & 1 & \ref{sec:	claims/table1_groups.tsv + the pack (every run_tail*.log directory under campaign/)	2026-09-26	count of runs mapped to this group; ERROR if a mapped run is not packed or its name is packed twice; anchors re-cut 2026-09-24 (feedback edits)
clmDetRunsMomentumScan	4	4		auto	detector_table1_runs	{"group": "momentum scan"}	& 4 & \ref{sec:spiral:capture}	claims/table1_groups.tsv + the pack (every run_tail*.log directory under campaign/)	2026-09-26	count of runs mapped to this group; ERROR if a mapped run is not packed or its name is packed twice
