# GLUED SERIES, three legs.  t < 36.0: level 3.  36.0 <= t <= 60.44: level 5, NO fill.  t > 60.44: level 5 with the core frozen from t = 57.
# The finer grid wins the 36-50 overlap; the UNFROZEN leg wins the 57-60.44 overlap (they agree to 6e-6 of peak there).
# leg 1 v2_spiral_d12_p012_L128_lvl3_t050  rows 3599 of 5001  (t 0.01-50.01)
# leg 2 v2_spiral_d12_p012_L128_lvl5_t150_prof_r03600  rows 2444 of 2444  (t 36.01-60.44)
# leg 3 v2_spiral_d12_p012_L128_lvl5_t100_freeze_r05700  rows 3956 of 4300  (t 57.01-100.00)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            20.000000           20.000000           28.000000           28.000000           36.000000           36.000000           44.000000           44.000000
      1.0000000000e-02     -2.1737914606e-04     -1.1170920489e-04     -3.0510678647e-05     -2.4447639064e-05     -6.6650174370e-06     -7.5784503597e-06     -2.0123692243e-06     -2.9306159634e-06
      2.0000000000e-02     -2.1733622011e-04     -1.1180870450e-04     -3.0503051609e-05     -2.4470616871e-05     -6.6643627212e-06     -7.5814967305e-06     -2.0122155787e-06     -2.9316417145e-06
      3.0000000000e-02     -2.1729377486e-04     -1.1190540950e-04     -3.0495661390e-05     -2.4493187583e-05     -6.6637080969e-06     -7.5845422716e-06     -2.0120617399e-06     -2.9326671671e-06
      4.0000000000e-02     -2.1725163650e-04     -1.1199876969e-04     -3.0488925306e-05     -2.4515283074e-05     -6.6630522883e-06     -7.5875871060e-06     -2.0119077075e-06     -2.9336923114e-06
      5.0000000000e-02     -2.1720959224e-04     -1.1208838268e-04     -3.0482803749e-05     -2.4536845825e-05     -6.6623956758e-06     -7.5906313636e-06     -2.0117534782e-06     -2.9347171587e-06
      6.0000000000e-02     -2.1716740531e-04     -1.1217399406e-04     -3.0477255299e-05     -2.4557825235e-05     -6.6617385628e-06     -7.5936751520e-06     -2.0115990475e-06     -2.9357417060e-06
      7.0000000000e-02     -2.1712483206e-04     -1.1225549356e-04     -3.0472228100e-05     -2.4578177899e-05     -6.6610812430e-06     -7.5967185700e-06     -2.0114444209e-06     -2.9367659568e-06
      8.0000000000e-02     -2.1708163967e-04     -1.1233290827e-04     -3.0467661278e-05     -2.4597867759e-05     -6.6604239748e-06     -7.5997617211e-06     -2.0112895869e-06     -2.9377899092e-06
      9.0000000000e-02     -2.1703762382e-04     -1.1240639273e-04     -3.0463486131e-05     -2.4616866179e-05     -6.6597669874e-06     -7.6028046930e-06     -2.0111345571e-06     -2.9388135708e-06
      1.0000000000e-01     -2.1699262505e-04     -1.1247621629e-04     -3.0459627515e-05     -2.4635152041e-05     -6.6591104688e-06     -7.6058475543e-06     -2.0109793240e-06     -2.9398369342e-06
