# GLUED SERIES: level 3 for t < 36.0, level 5 for t >= 36.0 (the finer grid wins the overlap).
# leg 1 v2_spiral_d12_p012_L128_lvl3_t050   rows used 3599 of 5001  (t 0.01-50.01)
# leg 2 v2_spiral_d12_p012_L128_lvl5_t150_prof_r03600  rows used 2444 of 2444  (t 36.01-60.44)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            20.000000           20.000000           28.000000           28.000000           36.000000           36.000000           44.000000           44.000000
      1.0000000000e-02     -3.3514709889e-07      4.2217621576e-05     -1.0503112233e-07      9.6379812287e-06     -9.6536859594e-09      3.0419960490e-06     -2.9139173421e-09      1.1909909103e-06
      2.0000000000e-02     -3.4277063125e-07      4.2264446857e-05     -1.0609419449e-07      9.6639536525e-06     -9.9074717038e-09      3.0416815498e-06     -2.9931459722e-09      1.1909052266e-06
      3.0000000000e-02     -3.5039282206e-07      4.2312233062e-05     -1.0717043012e-07      9.6890135045e-06     -1.0161722277e-08      3.0413667148e-06     -3.0725148288e-09      1.1908193802e-06
      4.0000000000e-02     -3.5805172106e-07      4.2360412458e-05     -1.0828448032e-07      9.7130786927e-06     -1.0416459411e-08      3.0410515858e-06     -3.1520111868e-09      1.1907333692e-06
      5.0000000000e-02     -3.6579332312e-07      4.2408593103e-05     -1.0943282676e-07      9.7360763344e-06     -1.0671693512e-08      3.0407361937e-06     -3.2316412840e-09      1.1906471963e-06
      6.0000000000e-02     -3.7366899569e-07      4.2456554697e-05     -1.1061122440e-07      9.7579399827e-06     -1.0927415931e-08      3.0404205730e-06     -3.3114044001e-09      1.1905608687e-06
      7.0000000000e-02     -3.8173221464e-07      4.2504240611e-05     -1.1181443121e-07      9.7786099597e-06     -1.1183625132e-08      3.0401047640e-06     -3.3912955411e-09      1.1904743866e-06
      8.0000000000e-02     -3.9003537998e-07      4.2551745629e-05     -1.1303630407e-07      9.7980335715e-06     -1.1440332723e-08      3.0397888034e-06     -3.4713275111e-09      1.1903877497e-06
      9.0000000000e-02     -3.9862667154e-07      4.2599300335e-05     -1.1426992575e-07      9.8161652850e-06     -1.1697542221e-08      3.0394727234e-06     -3.5514903014e-09      1.1903009613e-06
      1.0000000000e-01     -4.0754715719e-07      4.2647252063e-05     -1.1550774250e-07      9.8329668836e-06     -1.1955261938e-08      3.0391565528e-06     -3.6317896001e-09      1.1902140193e-06
      1.1000000000e-01     -4.1682816738e-07      4.2696043405e-05     -1.1674169365e-07      9.8484075583e-06     -1.2213505751e-08      3.0388403239e-06     -3.7122244853e-09      1.1901269275e-06
      1.2000000000e-01     -4.2648927651e-07      4.2746188673e-05     -1.1796337606e-07      9.8624639578e-06     -1.2472277026e-08      3.0385240706e-06     -3.7927937656e-09      1.1900396852e-06
