# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time              L2_Ham              L2_Mom
   0.0000000    2.9899715573e-03    2.8862579891e-06
   0.0500000    3.4028018978e-03    4.2110351500e-06
   0.1000000    3.4027690811e-03    5.6048618417e-06
   0.1500000    3.4027633114e-03    7.0549833373e-06
   0.2000000    3.4027831816e-03    8.4141405059e-06
   0.2500000    3.4028308176e-03    9.6529837826e-06
   0.3000000    3.4029100850e-03    1.0772202073e-05
   0.3500000    3.4030254362e-03    1.1780792588e-05
   0.4000000    3.4031812181e-03    1.2689759065e-05
   0.4500000    3.4033812830e-03    1.3509990948e-05
   0.5000000    3.4036287904e-03    1.4251501264e-05
   0.5500000    3.4039261285e-03    1.4923195487e-05
   0.6000000    3.4042749054e-03    1.5532864750e-05
   0.6500000    3.4046759856e-03    1.6087268588e-05
   0.7000000    3.4051295496e-03    1.6592255985e-05
   0.7500000    3.4056351643e-03    1.7052904246e-05
   0.8000000    3.4061918532e-03    1.7473655251e-05
   0.8500000    3.4067981615e-03    1.7858428935e-05
   0.9000000    3.4074522162e-03    1.8210715766e-05
   0.9500000    3.4081517858e-03    1.8533655741e-05
   1.0000000    3.4088943423e-03    1.8830101202e-05
   1.0500000    3.4096771229e-03    1.9102655474e-05
   1.1000000    3.4104971856e-03    1.9353695843e-05
   1.1500000    3.4113514592e-03    1.9585402840e-05
   1.2000000    3.4122367891e-03    1.9799799645e-05
   1.2500000    3.4131499820e-03    1.9998785104e-05
   1.3000000    3.4140878482e-03    2.0184152691e-05
   1.3500000    3.4150472409e-03    2.0357600564e-05
   1.4000000    3.4160250884e-03    2.0520732220e-05
   1.4500000    3.4170184197e-03    2.0675045528e-05
   1.5000000    3.4180243869e-03    2.0821923617e-05
   1.5500000    3.4190402852e-03    2.0962642443e-05
   1.6000000    3.4200635692e-03    2.1098386502e-05
   1.6500000    3.4210918663e-03    2.1230255789e-05
   1.7000000    3.4221229860e-03    2.1359265892e-05
   1.7500000    3.4231549282e-03    2.1486352091e-05
   1.8000000    3.4241858880e-03    2.1612375575e-05
   1.8500000    3.4252142593e-03    2.1738125206e-05
   1.9000000    3.4262386372e-03    2.1864318303e-05
   1.9500000    3.4272578195e-03    2.1991604772e-05
   2.0000000    3.4282708064e-03    2.2120571070e-05
   2.0500000    3.4292768000e-03    2.2251741490e-05
   2.1000000    3.4302752012e-03    2.2385581170e-05
   2.1500000    3.4312656076e-03    2.2522503137e-05
   2.2000000    3.4322478097e-03    2.2662874061e-05
   2.2500000    3.4332217866e-03    2.2807014382e-05
   2.3000000    3.4341877015e-03    2.2955197066e-05
   2.3500000    3.4351458966e-03    2.3107650778e-05
   2.4000000    3.4360968871e-03    2.3264566017e-05
   2.4500000    3.4370413565e-03    2.3426099048e-05
   2.5000000    3.4379801496e-03    2.3592372416e-05
   2.5500000    3.4389142678e-03    2.3763475115e-05
   2.6000000    3.4398448622e-03    2.3939464353e-05
   2.6500000    3.4407732285e-03    2.4120368499e-05
   2.7000000    3.4417008011e-03    2.4306189880e-05
   2.7500000    3.4426291477e-03    2.4496907290e-05
   2.8000000    3.4435599645e-03    2.4692478355e-05
   2.8500000    3.4444950712e-03    2.4892841043e-05
   2.9000000    3.4454364066e-03    2.5097914307e-05
   2.9500000    3.4463860247e-03    2.5307599422e-05
   3.0000000    3.4473460908e-03    2.5521782685e-05
   3.0500000    3.4483188786e-03    2.5740338123e-05
   3.1000000    3.4493067681e-03    2.5963129090e-05
   3.1500000    3.4503122427e-03    2.6190009656e-05
   3.2000000    3.4513378889e-03    2.6420826827e-05
   3.2500000    3.4523863947e-03    2.6655423032e-05
   3.3000000    3.4534605497e-03    2.6893637551e-05
   3.3500000    3.4545632456e-03    2.7135307177e-05
   3.4000000    3.4556974775e-03    2.7380267237e-05
   3.4500000    3.4568663451e-03    2.7628352757e-05
   3.5000000    3.4580730562e-03    2.7879398801e-05
   3.5500000    3.4593209303e-03    2.8133240843e-05
   3.6000000    3.4606134037e-03    2.8389716641e-05
   3.6500000    3.4619540351e-03    2.8648669150e-05
   3.7000000    3.4633465116e-03    2.8909948168e-05
   3.7500000    3.4647946550e-03    2.9173409763e-05
   3.8000000    3.4663024295e-03    2.9438915097e-05
   3.8500000    3.4678739513e-03    2.9706330336e-05
   3.9000000    3.4695135000e-03    2.9975527612e-05
   3.9500000    3.4712255307e-03    3.0246385771e-05
   4.0000000    3.4730146870e-03    3.0518790385e-05
   4.0500000    3.4748858128e-03    3.0792633626e-05
   4.1000000    3.4768439655e-03    3.1067814365e-05
   4.1500000    3.4788944321e-03    3.1344238417e-05
   4.2000000    3.4810427484e-03    3.1621818768e-05
   4.2500000    3.4832947208e-03    3.1900475794e-05
   4.3000000    3.4856564487e-03    3.2180137238e-05
   4.3500000    3.4881343469e-03    3.2460737442e-05
   4.4000000    3.4907351671e-03    3.2742216100e-05
   4.4500000    3.4934660233e-03    3.3024517416e-05
   4.5000000    3.4963344213e-03    3.3307590475e-05
   4.5500000    3.4993482931e-03    3.3591390216e-05
   4.6000000    3.5025160333e-03    3.3875877863e-05
   4.6500000    3.5058465357e-03    3.4161020353e-05
   4.7000000    3.5093492290e-03    3.4446789412e-05
   4.7500000    3.5130341146e-03    3.4733160931e-05
   4.8000000    3.5169118104e-03    3.5020114693e-05
   4.8500000    3.5209936014e-03    3.5307634113e-05
   4.9000000    3.5252914957e-03    3.5595706157e-05
   4.9500000    3.5298182833e-03    3.5884321400e-05
   5.0000000    3.5345875970e-03    3.6173473925e-05
   5.0500000    3.5396139761e-03    3.6463160810e-05
   5.1000000    3.5449129377e-03    3.6753381691e-05
   5.1500000    3.5505010559e-03    3.7044138745e-05
   5.2000000    3.5563960490e-03    3.7335436963e-05
   5.2500000    3.5626168742e-03    3.7627284159e-05
   5.3000000    3.5691838282e-03    3.7919690449e-05
   5.3500000    3.5761186563e-03    3.8212667517e-05
   5.4000000    3.5834446711e-03    3.8506228178e-05
   5.4500000    3.5911868845e-03    3.8800386236e-05
   5.5000000    3.5993721534e-03    3.9095156405e-05
   5.5500000    3.6080293382e-03    3.9390554199e-05
   5.6000000    3.6171894765e-03    3.9686595793e-05
   5.6500000    3.6268859715e-03    3.9983297897e-05
   5.7000000    3.6371548006e-03    4.0280677658e-05
   5.7500000    3.6480347475e-03    4.0578752733e-05
   5.8000000    3.6595676588e-03    4.0877541391e-05
   5.8500000    3.6717987293e-03    4.1177062507e-05
   5.9000000    3.6847768169e-03    4.1477335314e-05
   5.9500000    3.6985547906e-03    4.1778378909e-05
   6.0000000    3.7131899171e-03    4.2080211788e-05
   6.0500000    3.7287442941e-03    4.2382851730e-05
   6.1000000    3.7452853347e-03    4.2686316031e-05
   6.1500000    3.7628863125e-03    4.2990621877e-05
   6.2000000    3.7816269720e-03    4.3295786560e-05
   6.2500000    3.8015942127e-03    4.3601827547e-05
   6.3000000    3.8228828590e-03    4.3908762484e-05
   6.3500000    3.8455965293e-03    4.4216609198e-05
   6.4000000    3.8698486220e-03    4.4525385748e-05
   6.4500000    3.8957634370e-03    4.4835110392e-05
   6.5000000    3.9234774505e-03    4.5145801713e-05
   6.5500000    3.9531407677e-03    4.5457479034e-05
   6.6000000    3.9849187831e-03    4.5770162992e-05
   6.6500000    4.0189940872e-03    4.6083876160e-05
   6.7000000    4.0555686657e-03    4.6398643721e-05
   6.7500000    4.0948664385e-03    4.6714494290e-05
   6.8000000    4.1371362011e-03    4.7031460857e-05
   6.8500000    4.1826550411e-03    4.7349581832e-05
   6.9000000    4.2317323283e-03    4.7668902353e-05
   6.9500000    4.2847143928e-03    4.7989476092e-05
   7.0000000    4.3419900334e-03    4.8311367688e-05
   7.0500000    4.4039970280e-03    4.8634655684e-05
   7.1000000    4.4712298681e-03    4.8959435840e-05
   7.1500000    4.5442489914e-03    4.9285824953e-05
   7.2000000    4.6236918690e-03    4.9613965668e-05
   7.2500000    4.7102863944e-03    4.9944032811e-05
   7.3000000    4.8048671555e-03    5.0276241723e-05
   7.3500000    4.9083953342e-03    5.0610858895e-05
   7.4000000    5.0219832131e-03    5.0948215362e-05
   7.4500000    5.1469245878e-03    5.1288723735e-05
   7.5000000    5.2847328263e-03    5.1632900224e-05
   7.5500000    5.4371889267e-03    5.1981393645e-05
   7.6000000    5.6064027762e-03    5.2335024200e-05
   7.6500000    5.7948920468e-03    5.2694835857e-05
   7.7000000    6.0056849618e-03    5.3062167779e-05
   7.7500000    6.2424558303e-03    5.3438752970e-05
   7.8000000    6.5097062536e-03    5.3826856818e-05
   7.8500000    6.8130110445e-03    5.4229475300e-05
   7.9000000    7.1593575413e-03    5.4650624003e-05
   7.9500000    7.5576225162e-03    5.5095768067e-05
   8.0000000    8.0192565413e-03    5.5572475981e-05
   8.0500000    8.5592894004e-03    5.6091439113e-05
   8.1000000    9.1978472200e-03    5.6668108376e-05
   8.1500000    9.9625133629e-03    5.7325410432e-05
   8.2000000    1.0892136506e-02    5.8098430232e-05
   8.2500000    1.2043238677e-02    5.9042847030e-05
   8.3000000    1.3501360237e-02    6.0250941165e-05
   8.3500000    1.5402433062e-02    6.1883908755e-05
   8.4000000    1.7976310161e-02    6.4242232386e-05
   8.4500000    2.1644844538e-02    6.7934252271e-05
   8.5000000    2.7275322587e-02    7.4334097752e-05
   8.5500000    3.6979317528e-02    8.7071325283e-05
