# time  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=30)  Im_m-2(R=30)  Re_m-1(R=30)  Im_m-1(R=30)  Re_m0(R=30)  Im_m0(R=30)  Re_m1(R=30)  Im_m1(R=30)  Re_m2(R=30)  Im_m2(R=30)
0.0000000000000000e+00  -3.8966978042238830e-03  4.3304094846206322e-03  4.4377761956569912e-06  4.0921533087349247e-06  3.3907653872914641e-03  5.7739245005399253e-07  4.4354726315330587e-06  -4.0848857501192053e-06  -3.8919123012143677e-03  -4.3282089531753876e-03  -2.0086920917313059e-04  6.7306153813443878e-04  6.5642735826324832e-07  2.7151894045061634e-07  1.6969597220762209e-04  -2.4894827715395921e-17  6.5642736462840541e-07  -2.7151894745358374e-07  -2.0086920917319919e-04  -6.7306153813440929e-04
1.0000000000000000e+00  -3.5917376452985522e-03  4.3005876915489932e-03  4.7262273029632763e-06  3.7780695609472437e-06  3.3497030434132885e-03  5.3353020240363844e-07  4.7235836136459631e-06  -3.7714096489056657e-06  -3.5873503349429718e-03  -4.2984263920686806e-03  -1.9483119770076740e-04  6.7927769770998923e-04  6.6849883695213475e-07  2.6979519932193858e-07  1.6901494794866994e-04  -5.9607349624620420e-16  6.6849883991065895e-07  -2.6979520232951319e-07  -1.9483119769878737e-04  -6.7927769771312073e-04
2.0000000000000000e+00  -3.2002448556554463e-03  4.1975803622725516e-03  4.9440485401292758e-06  3.3772490774102529e-06  3.3062066398329942e-03  4.8583357276040423e-07  4.9410916174519171e-06  -3.3713582722098014e-06  -3.1963786594039279e-03  -4.1954996326983504e-03  -1.8775658879791708e-04  6.8231539852495128e-04  6.7995659020455075e-07  2.6696882398202616e-07  1.6803916142099949e-04  1.2708622936763426e-15  6.7995659901581808e-07  -2.6696881889548706e-07  -1.8775658880438472e-04  -6.8231539851816494e-04
2.9999999999999800e+00  -2.7021901287718917e-03  4.0274006260515704e-03  5.1251003039918258e-06  2.8883473931712089e-06  3.2596191937650561e-03  1.1932399269755584e-07  5.1216664106372842e-06  -2.8834463155247202e-06  -2.6989556049670576e-03  -4.0257869445205312e-03  -1.7925945897892282e-04  6.8431272300827019e-04  6.8528162554558723e-07  2.6301649562827480e-07  1.6696839295313228e-04  -9.7568396411286851e-15  6.8528162111043781e-07  -2.6301649525504593e-07  -1.7925945898409926e-04  -6.8431272301613943e-04
3.9999999999999600e+00  -2.0748920248652250e-03  3.7725793686027489e-03  5.2073931668951761e-06  2.3084638123399622e-06  3.2072548449866281e-03  6.0029312667699177e-07  5.2035120297430721e-06  -2.3047579782732255e-06  -2.0725981503804760e-03  -3.7705029703880219e-03  -1.6916958844249516e-04  6.8269262506367176e-04  6.9462701759102184e-07  2.5758335195327914e-07  1.6573215345977313e-04  7.0236607261037025e-16  6.9462703063050845e-07  -2.5758333014667203e-07  -1.6916958844137917e-04  -6.8269262506522000e-04
4.9999999999999396e+00  -1.2951528718277091e-03  3.4248161218865310e-03  5.1646596967085856e-06  1.6043339797070978e-06  3.1398066961155014e-03  4.0383142295897948e-07  5.1609590498864515e-06  -1.6021461895576808e-06  -1.2938401492362402e-03  -3.4231220254978835e-03  -1.5709726671090418e-04  6.7799120204716889e-04  6.9536117432613301e-07  2.5009929652980310e-07  1.6452438005942782e-04  -7.3683194911326614e-15  6.9536118725809175e-07  -2.5009927857924705e-07  -1.5709726671959661e-04  -6.7799120204276150e-04
5.9999999999999201e+00  -3.4031236814100835e-04  2.9701487204097962e-03  4.9367395932629339e-06  7.8040940473027453e-07  3.0403033171369481e-03  3.4416327156553371e-07  4.9331123657377658e-06  -7.7987623445880568e-07  -3.4019623171520092e-04  -2.9686866706156575e-03  -1.4273293646577948e-04  6.6849517211490855e-04  6.9692750963660688e-07  2.4049893456988622e-07  1.6314529254953227e-04  7.8898832047780490e-15  6.9692751855161764e-07  -2.4049894171843999e-07  -1.4273293647105084e-04  -6.6849517211722332e-04
6.9999999999998996e+00  8.1111204440260389e-04  2.4396150379239574e-03  4.6876312590788738e-06  -1.8030298192124278e-07  2.8855309300031785e-03  4.4490815262377507e-07  4.6838289932900575e-06  1.7890416001598470e-07  8.0989234952360872e-04  -2.4383044798077045e-03  -1.2560686122988293e-04  6.5596745223681595e-04  7.0367859412951493e-07  2.2864732467869884e-07  1.6183203729693243e-04  3.1018256531201833e-15  7.0367861053200429e-07  -2.2864732939972737e-07  -1.2560686122240305e-04  -6.5596745224828432e-04
7.9999999999998703e+00  2.1700687676399922e-03  1.8151474243016880e-03  4.3317343821962321e-06  -1.2685165986763021e-06  2.6297595770560316e-03  5.1011200843567218e-07  4.3287947708956800e-06  1.2655116891084399e-06  2.1674006164171394e-03  -1.8139716086488452e-03  -1.0518861745668327e-04  6.3720321717330064e-04  6.6194977991341409e-07  2.1346725834169883e-07  1.6030637607425126e-04  2.2191735410657411e-14  6.6194980049554856e-07  -2.1346725602725455e-07  -1.0518861744983712e-04  -6.3720321716683121e-04
8.9999999999998508e+00  3.7372591275391023e-03  1.1119181389309190e-03  3.8819503580944154e-06  -2.4701514963076088e-06  2.2236382439539955e-03  5.6738453378776306e-07  3.8786482126875345e-06  2.4653626057356226e-06  3.7331151334810352e-03  -1.1108631187909683e-03  -8.0835521952920874e-05  6.1366569049679429e-04  6.3957872988190986e-07  1.9494569340825837e-07  1.5845253882178857e-04  2.2272207246415714e-15  6.3957870435603095e-07  -1.9494572808482111e-07  -8.0835521979895730e-05  -6.1366569049108564e-04
9.9999999999998295e+00  5.4891433743902819e-03  3.2791935246881301e-04  2.5552380710147403e-06  -3.7143073500343259e-06  1.5926417729308997e-03  7.4019751259390604e-07  2.5461775203920175e-06  3.7105077686832440e-06  5.4838326275468297e-03  -3.2679785443929859e-04  -5.1499645725923181e-05  5.8371017258807489e-04  6.2144921262038069e-07  1.7281804209619166e-07  1.5688754267032996e-04  -2.7066720777318433e-15  6.2144927165304673e-07  -1.7281803938594677e-07  -5.1499645757151605e-05  -5.8371017254696042e-04
1.0999999999999799e+01  7.3871665124855112e-03  -5.1659775724261674e-04  2.5437759656604075e-06  -4.9958847198554347e-06  6.8103306262931639e-04  9.0400153723873720e-07  2.5385742519999618e-06  4.9895882598835294e-06  7.3808902964940821e-03  5.1778018576081853e-04  -1.6284098664043741e-05  5.4493197390932582e-04  5.8637390875334053e-07  1.4509910052394246e-07  1.5515818691951716e-04  -1.6666245416466235e-14  5.8637387805452861e-07  -1.4509912839270794e-07  -1.6284098604430253e-05  -5.4493197394604915e-04
1.1999999999999799e+01  9.3689399149405484e-03  -1.4109081516354280e-03  1.5632360870471675e-06  -6.2256592283526277e-06  -5.2490305662090237e-04  9.9446731518148325e-07  1.5626484527598829e-06  6.2195120555631851e-06  9.3622438863961797e-03  1.4122229048705117e-03  2.6093087535762770e-05  4.9549165763979736e-04  5.4512171478786809e-07  1.1076441499666454e-07  1.5316555686209347e-04  1.4078040160830766e-14  5.4512171673627299e-07  -1.1076433109417975e-07  2.6093087512042649e-05  -4.9549165758076125e-04
1.2999999999999799e+01  1.1350440301608056e-02  -2.3475191937018264e-03  5.6685120416745190e-07  -7.3008867219228774e-06  -2.0147477924075778e-03  1.2828546019344586e-06  5.6972669714166127e-07  7.2966485509218868e-06  1.1343812407667986e-02  2.3490436487483639e-03  7.7337622328959234e-05  4.3229955859419225e-04  4.9241334433797637e-07  6.7608806365451562e-08  1.5101600855360313e-04  6.3713209487537632e-16  4.9241338464897356e-07  -6.7608793398130377e-08  7.7337622333463593e-05  -4.3229955857836371e-04
1.3999999999999700e+01  1.3227265330696741e-02  -3.3540370070458789e-03  -5.0706677350777025e-07  -8.2348595039787769e-06  -3.6909401267748200e-03  2.5661925089025657e-07  -5.0454797897395636e-07  8.2316472360832319e-06  1.3221367680292653e-02  3.3551176513108719e-03  1.3963338594091728e-04  3.6188767992879661e-04  4.5680544192289534e-07  1.8768853039093479e-08  1.4952373439164029e-04  -7.6036030092650406e-17  4.5680545393728610e-07  -1.8768867870920767e-08  1.3963338588015745e-04  -3.6188767989163634e-04
1.4999999999999700e+01  1.4904969572117255e-02  -4.3607344556313328e-03  -1.3069368834879615e-06  -8.8068230866955413e-06  -5.4124084103711030e-03  4.7484787698087402e-07  -1.3026150431980523e-06  8.8063198248230888e-06  1.4900035589600409e-02  4.3616413029452265e-03  2.1523245177744254e-04  2.7177374042393126e-04  3.7574717514824795e-07  -4.0729808894232535e-08  1.4793459504276794e-04  5.6113760777832180e-14  3.7574719823176649e-07  4.0729791637270920e-08  2.1523245175054324e-04  -2.7177374046656583e-04
1.5999999999999700e+01  1.6253822897397765e-02  -5.4402568871178914e-03  -2.6096119170540927e-06  -8.9788092442030046e-06  -7.0285037738216849e-03  1.6252981314964041e-07  -2.6043456335330366e-06  8.9805012971148981e-06  1.6252012670803229e-02  5.4402815574224042e-03  3.0724075165597197e-04  1.6475211461738654e-04  2.9422125748796346e-07  -1.1204627971960357e-07  1.4634796254815982e-04  -4.8427048748667120e-15  2.9422131219898005e-07  1.1204631332896092e-07  3.0724075179038425e-04  -1.6475211463406404e-04
1.6999999999999901e+01  1.7143228299585762e-02  -6.6005326197435604e-03  -3.4809820531398665e-06  -9.0056085367199851e-06  -8.4264791696742787e-03  -2.9434822875832987e-07  -3.4766298074965694e-06  9.0090784581030122e-06  1.7142755614679289e-02  6.5998141092015669e-03  4.1954194401951192e-04  3.6783706084036444e-05  2.2338236557708011e-07  -1.9722804020123529e-07  1.4470651111717669e-04  -4.5046491154734046e-14  2.2338236187280919e-07  1.9722821813033311e-07  4.1954194412864045e-04  -3.6783706063862979e-05
1.8000000000000000e+01  1.7458487526561872e-02  -7.8358046618125909e-03  -4.0117297614828638e-06  -8.9156110208670022e-06  -9.4814703815483421e-03  -6.3177442438624788e-07  -4.0072047820196623e-06  8.9137445032586382e-06  1.7460098808681785e-02  7.8341236253067301e-03  5.5672239215698576e-04  -1.1355317477801257e-04  -1.2609985377546636e-07  -3.0214114010221171e-07  1.4230262501792426e-04  -2.5326333297902455e-14  -1.2609984246832246e-07  3.0214111131366497e-07  5.5672239209526712e-04  1.1355317479724909e-04
1.9000000000000199e+01  1.7140968589359019e-02  -9.1496641104132914e-03  -4.2805525672455207e-06  -8.5614961452843905e-06  -1.0042542975924567e-02  -1.0035323757420221e-06  -4.2791845932580858e-06  8.5673352623043054e-06  1.7143821747804044e-02  9.1474236588443870e-03  7.2480161792383684e-04  -2.8930219448499144e-04  -2.7706733252397055e-07  -4.2743619901556174e-07  1.3922701031465360e-04  -1.5094078680374961e-13  -2.7706749043701392e-07  4.2743629668562519e-07  7.2480161794038198e-04  2.8930219433773646e-04
2.0000000000000298e+01  1.6103506254893683e-02  -1.0534206619207908e-02  -4.1614096845121564e-06  -8.4346921119678848e-06  -1.0115949606729709e-02  -1.3036629130592893e-06  -4.1424334554032760e-06  8.4452280417223815e-06  1.6108296994118376e-02  1.0531404539583622e-02  9.3083836669431306e-04  -4.9773305413789695e-04  -4.6071565206591173e-07  -5.7606524402618740e-07  1.3523105110162885e-04  3.6038988210118942e-14  -4.6071589619515417e-07  5.7606523014700358e-07  9.3083836665711290e-04  4.9773305426138487e-04
