# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time          separation                  xA                  yA                  zA            chiA_min          lapseA_min                  xB                  yB                  zB            chiB_min          lapseB_min             theta_A              ah_r_A             theta_B              ah_r_B        theta_common         ah_r_common
   0.0000000    1.2000000000e+01    6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9389071244e-01   -6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9389071244e-01    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.0500000    1.2000000000e+01    6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9394044894e-01   -6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9394044894e-01    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.1000000    1.2000000000e+01    6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9398499907e-01   -6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9398499907e-01    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.1500000    1.2000000000e+01    6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9402525611e-01   -6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9402525611e-01    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.2000000    1.2000000000e+01    6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9406192062e-01   -6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9406192062e-01    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.2500000    1.2000000000e+01    6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9409554593e-01   -6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9409554593e-01    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.3000000    1.2000000000e+01    6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9412656982e-01   -6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9412656982e-01    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.3500000    1.2000000000e+01    6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9415533638e-01   -6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9415533638e-01    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.4000000    1.2000000000e+01    6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9418211068e-01   -6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9418211068e-01    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.4500000    1.2000000000e+01    6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9420708853e-01   -6.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000000000e-08    1.9420708853e-01    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
