# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time           min_lapse             min_chi           max_abs_K         min_lapse_x         min_lapse_y         min_lapse_z             min_phi             max_phi              min_Pi              max_Pi
   0.0000000    2.1942989020e-01    4.1086029478e-07    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5672296939e-01   -7.2967435899e-02    0.0000000000e+00    0.0000000000e+00
   0.0500000    2.1948644995e-01    4.3361357094e-07    3.4416503956e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5655091734e-01   -7.2967433218e-02   -2.3040593374e-05    3.5316333756e-05
   0.1000000    2.1954137310e-01    4.5621232762e-07    6.4615821159e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5638382392e-01   -7.2967429372e-02   -4.6032683264e-05    7.0470251264e-05
   0.1500000    2.1959473288e-01    4.7866125291e-07    9.1121754634e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5622144627e-01   -7.2967428435e-02   -6.8915853032e-05    1.0525926725e-04
   0.2000000    2.1964659755e-01    5.0096484869e-07    1.1436770632e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5606355572e-01   -7.2967428752e-02   -9.1618164690e-05    1.3944933324e-04
   0.2500000    2.1969703056e-01    5.2312739671e-07    1.3470704227e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5590993765e-01   -7.2967427970e-02   -1.1405468606e-04    1.7278685783e-04
   0.3000000    2.1974609090e-01    5.4515296515e-07    1.5244925342e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5576039062e-01   -7.2967426603e-02   -1.3614341203e-04    2.0501038313e-04
   0.3500000    2.1979383361e-01    5.6704543160e-07    1.6783833154e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5561472524e-01   -7.2967425616e-02   -1.5779372848e-04    2.3586456090e-04
   0.4000000    2.1984030998e-01    5.8880848903e-07    1.8107411486e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5547276351e-01   -7.2967424862e-02   -1.7890844735e-04    2.6510285240e-04
   0.4500000    2.1988556786e-01    6.1044565756e-07    1.9234954622e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5533433818e-01   -7.2967424007e-02   -1.9942108784e-04    2.9250146707e-04
   0.5000000    2.1992965188e-01    6.3196029699e-07    2.0181160355e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5519929206e-01   -7.2967423028e-02   -2.1923913913e-04    3.1786735863e-04
   0.5500000    2.1997260363e-01    6.5335561347e-07    2.0958831022e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5506747762e-01   -7.2967421990e-02   -2.3828946206e-04    3.4104488495e-04
   0.6000000    2.2001446171e-01    6.7463466986e-07    2.1582045726e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5493875679e-01   -7.2967420979e-02   -2.5650487131e-04    3.6190908712e-04
   0.6500000    2.2005526174e-01    6.9580039930e-07    2.2059919465e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5481300097e-01   -7.2967420077e-02   -2.7383578513e-04    3.8038006374e-04
   0.7000000    2.2009503626e-01    7.1685562147e-07    2.2406008371e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5469009128e-01   -7.2967419276e-02   -2.9023393646e-04    3.9641936487e-04
   0.7500000    2.2013381456e-01    7.3780306720e-07    2.2629447054e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5456991908e-01   -7.2967418485e-02   -3.0567143925e-04    4.1002941140e-04
   0.8000000    2.2017162245e-01    7.5864541510e-07    2.2740451471e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5445238643e-01   -7.2967417625e-02   -3.2012379513e-04    4.2125755158e-04
   0.8500000    2.2020848226e-01    7.7938533683e-07    2.2750297577e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5433740624e-01   -7.2967416677e-02   -3.3355291571e-04    4.3016798296e-04
   0.9000000    2.2024441296e-01    8.0002554370e-07    2.2666731055e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5422490178e-01   -7.2967415668e-02   -3.4599018893e-04    4.3686452045e-04
   0.9500000    2.2027943081e-01    8.2056882088e-07    2.2501568180e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5411480483e-01   -7.2967414660e-02   -3.5744127495e-04    4.4147599903e-04
   1.0000000    2.2031355064e-01    8.4101802543e-07    2.2261783000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5400705210e-01   -7.2967413713e-02   -3.6789853198e-04    4.4415091596e-04
   1.0500000    2.2034678782e-01    8.6137601827e-07    2.1958849635e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5390157963e-01   -7.2967412837e-02   -3.7737567885e-04    4.4505202257e-04
   1.1000000    2.2037916098e-01    8.8164550349e-07    2.1599231989e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5379831518e-01   -7.2967411989e-02   -3.8593221846e-04    4.4435110304e-04
   1.1500000    2.2041069512e-01    9.0182875948e-07    2.1193787283e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5369716932e-01   -7.2967411110e-02   -3.9362540045e-04    4.4222413662e-04
   1.2000000    2.2044142487e-01    9.2192726979e-07    2.0747823362e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5359802649e-01   -7.2967410176e-02   -4.0041157940e-04    4.3884699238e-04
   1.2500000    2.2047139702e-01    9.4194129794e-07    2.0268678585e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5350073778e-01   -7.2967409204e-02   -4.0632459421e-04    4.3439175541e-04
   1.3000000    2.2050067164e-01    9.6186949001e-07    1.9765009439e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5340511774e-01   -7.2967408227e-02   -4.1148015094e-04    4.2902373502e-04
   1.3500000    2.2052932113e-01    9.8170862232e-07    1.9241740774e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5331094714e-01   -7.2967407269e-02   -4.1589110801e-04    4.2289916106e-04
   1.4000000    2.2055742724e-01    1.0014540484e-06    1.8704613707e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5321798110e-01   -7.2967406332e-02   -4.1957573122e-04    4.1616353799e-04
   1.4500000    2.2058509319e-01    1.0211124288e-06    1.8159430681e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.5312591069e-01   -7.2967405402e-02   -4.2258584669e-04    4.0895059760e-04
