# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000   -1.5411408756e-09   -5.8917914443e-10   -1.5798880310e-10   -5.5899446856e-11    1.2817104347e-11    1.8965965928e-09   -9.5232389148e-11    1.3683500715e-10
   0.0600000   -2.0283982419e-09   -1.9390469466e-10   -2.6311008072e-10   -1.7266731066e-10    1.7789001441e-10    1.6543632803e-09   -4.9717345692e-11    6.2616992226e-10
   0.1100000   -2.6460421779e-09    1.0835932571e-10   -2.7646587363e-10   -2.6734378460e-10    5.6582991828e-11    1.4011028434e-09   -3.3205910169e-11    8.5429616149e-10
   0.1600000   -3.3616197139e-09    1.9120637618e-10   -1.8475728822e-10   -2.8702361512e-10   -3.0912933053e-10    1.0942657419e-09   -3.7347040484e-11    8.7035506291e-10
   0.2100000   -4.0774561328e-09   -2.4948254523e-11    1.9380954166e-11   -1.4598286625e-10   -8.4869430818e-10    6.9205578426e-10   -5.4894587231e-11    7.1885999904e-10
   0.2600000   -4.6432648463e-09   -5.3620516280e-10    3.2514608613e-10    2.3340960178e-10   -1.4720125789e-09    1.8482916279e-10   -8.0107050119e-11    4.3893829601e-10
   0.3100000   -4.9018923646e-09   -1.2503915489e-09    6.8405310347e-10    8.5398794097e-10   -2.0807576039e-09   -3.8562917197e-10   -1.0871199250e-10    6.4273177025e-11
   0.3600000   -4.7516774990e-09   -2.0173917457e-09    1.0001077361e-09    1.5910136075e-09   -2.5812979370e-09   -9.2668973300e-10   -1.3768347914e-10   -3.7664114662e-10
   0.4100000   -4.1860603046e-09   -2.6815731197e-09    1.1416315713e-09    2.2020663486e-09   -2.8977621931e-09   -1.3165564251e-09   -1.6500167619e-10   -8.6006492094e-10
   0.4600000   -3.2890259481e-09   -3.1314252248e-09    9.7620330166e-10    2.4221156655e-09   -2.9833378964e-09   -1.4406035395e-09   -1.8942607508e-10   -1.3665663555e-09
   0.5100000   -2.2022450762e-09   -3.3240164092e-09    4.2192398648e-10    2.1111062601e-09   -2.8276713989e-09   -1.2306207419e-09   -2.1030256440e-10   -1.8805263951e-09
   0.5600000   -1.0895818154e-09   -3.2780993479e-09   -4.9659901031e-10    1.3667042831e-09   -2.4585540241e-09   -6.9368864029e-10   -2.2741877022e-10   -2.3896910535e-09
   0.6100000   -1.0803384867e-10   -3.0488759114e-09   -1.6056573747e-09    5.0773315308e-10   -1.9372679024e-09    7.9695000620e-11   -2.4086365791e-10   -2.8847166242e-09
   0.6600000    6.1867037569e-10   -2.7038760899e-09   -2.5803985172e-09   -9.1559089730e-11   -1.3479392618e-09    9.3220472761e-10   -2.5092603290e-10   -3.3587580310e-09
   0.7100000    1.0206000529e-09   -2.3101822449e-09   -3.0148314723e-09   -2.1283547798e-10   -7.8285810304e-10    1.6771305679e-09   -2.5800828375e-10   -3.8070809720e-09
   0.7600000    1.0873775437e-09   -1.9304532293e-09   -2.5754882250e-09    1.1323538727e-10   -3.2644447564e-10    2.1461956067e-09   -2.6254852424e-10   -4.2267177698e-09
   0.8100000    8.5788386591e-10   -1.6193666748e-09   -1.1942709814e-09    7.0743959593e-10   -4.1125685141e-11    2.2337157564e-09   -2.6498499980e-10   -4.6161400731e-09
   0.8600000    4.0344855751e-10   -1.4157274365e-09    8.0882089399e-10    1.4332632232e-09    4.2127438604e-11    1.9240464532e-09   -2.6571376817e-10   -4.9749744615e-09
