# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time          separation                  xA                  yA                  zA            chiA_min          lapseA_min                  xB                  yB                  zB            chiB_min          lapseB_min             theta_A              ah_r_A             theta_B              ah_r_B        theta_common         ah_r_common
   0.0000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.4750682678e-07    2.0188051901e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.4750682678e-07    2.0188051901e-01    1.2686359546e-01    0.0000000000e+00    1.2686359546e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.0500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.6644477877e-07    2.0193253327e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.6644477877e-07    2.0193253327e-01    1.2681711039e-01    0.0000000000e+00    1.2681711039e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.1000000    1.1937663611e+01    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    3.8525301539e-07    2.0198304451e-01   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    3.8525301539e-07    2.0198304451e-01    1.3356551488e-01    0.0000000000e+00    1.3356551488e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.1500000    1.1937663611e+01    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    4.0393544394e-07    2.0203212163e-01   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    4.0393544394e-07    2.0203212163e-01    1.3353654954e-01    0.0000000000e+00    1.3353654954e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.2000000    1.1937663611e+01    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    4.2249573931e-07    2.0207982844e-01   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    4.2249573931e-07    2.0207982844e-01    1.3351712435e-01    0.0000000000e+00    1.3351712435e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.2500000    1.1937663611e+01    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    4.4093723985e-07    2.0212622313e-01   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    4.4093723985e-07    2.0212622313e-01    1.3350509817e-01    0.0000000000e+00    1.3350509817e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.3000000    1.1937663611e+01    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    4.5926281485e-07    2.0217135762e-01   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    4.5926281485e-07    2.0217135762e-01    1.3349863319e-01    0.0000000000e+00    1.3349863319e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.3500000    1.1937663611e+01    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    4.7747469020e-07    2.0221527646e-01   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    4.7747469020e-07    2.0221527646e-01    1.3349614883e-01    0.0000000000e+00    1.3349614883e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.4000000    1.1937663611e+01    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    4.9557422202e-07    2.0225801539e-01   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    4.9557422202e-07    2.0225801539e-01    1.3349628287e-01    0.0000000000e+00    1.3349628287e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.4500000    1.1937663611e+01    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    5.1356165406e-07    2.0229959967e-01   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    5.1356165406e-07    2.0229959967e-01    1.3349785871e-01    0.0000000000e+00    1.3349785871e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.5000000    1.1937663611e+01    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    5.3143588645e-07    2.0234004249e-01   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    5.3143588645e-07    2.0234004249e-01    1.3349985786e-01    0.0000000000e+00    1.3349985786e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.5500000    1.1937663611e+01    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    5.4919428336e-07    2.0237934359e-01   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    5.4919428336e-07    2.0237934359e-01    1.3350139672e-01    0.0000000000e+00    1.3350139672e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.6000000    1.1937663611e+01    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    5.6683255362e-07    2.0241748834e-01   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    5.6683255362e-07    2.0241748834e-01    1.3350170706e-01    0.0000000000e+00    1.3350170706e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.6500000    1.1937663611e+01    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    5.8434472844e-07    2.0245444744e-01   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    5.8434472844e-07    2.0245444744e-01    1.3350011958e-01    0.0000000000e+00    1.3350011958e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.7000000    1.1937663611e+01    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    6.0172324544e-07    2.0249017729e-01   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    6.0172324544e-07    2.0249017729e-01    1.3349605009e-01    0.0000000000e+00    1.3349605009e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.7500000    1.1937663611e+01    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    6.1895913978e-07    2.0252462107e-01   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    6.1895913978e-07    2.0252462107e-01    1.3348898787e-01    0.0000000000e+00    1.3348898787e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.8000000    1.1937663611e+01    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    6.3604233404e-07    2.0255771047e-01   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    6.3604233404e-07    2.0255771047e-01    1.3347848583e-01    0.0000000000e+00    1.3347848583e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.8500000    1.1937663611e+01    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    6.5296200709e-07    2.0258936788e-01   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    6.5296200709e-07    2.0258936788e-01    1.3346415227e-01    0.0000000000e+00    1.3346415227e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
