# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time          separation                  xA                  yA                  zA            chiA_min          lapseA_min                  xB                  yB                  zB            chiB_min          lapseB_min             theta_A              ah_r_A             theta_B              ah_r_B        theta_common         ah_r_common
   0.0000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.1954060335e-07    1.9367801323e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.1954060335e-07    1.9367801323e-01    1.3400664186e-01    0.0000000000e+00    1.3400664186e-01    0.0000000000e+00    1.7295802934e-01    0.0000000000e+00
   0.0500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.3660610113e-07    1.9372788803e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.3660610113e-07    1.9372788803e-01    1.3395026911e-01    0.0000000000e+00    1.3395026911e-01    0.0000000000e+00    1.7292023557e-01    0.0000000000e+00
   0.1000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.5355347836e-07    1.9377632298e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.5355347836e-07    1.9377632298e-01    1.3393832390e-01    0.0000000000e+00    1.3393832390e-01    0.0000000000e+00    1.7287617940e-01    0.0000000000e+00
   0.1500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.7038631611e-07    1.9382338500e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.7038631611e-07    1.9382338500e-01    1.3396344388e-01    0.0000000000e+00    1.3396344388e-01    0.0000000000e+00    1.7282723154e-01    0.0000000000e+00
   0.2000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.8710804006e-07    1.9386913664e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.8710804006e-07    1.9386913664e-01    1.3401933136e-01    0.0000000000e+00    1.3401933136e-01    0.0000000000e+00    1.7277448864e-01    0.0000000000e+00
   0.2500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.0372190628e-07    1.9391363619e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.0372190628e-07    1.9391363619e-01    1.3410059413e-01    0.0000000000e+00    1.3410059413e-01    0.0000000000e+00    1.7271878418e-01    0.0000000000e+00
   0.3000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.2023100301e-07    1.9395693801e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.2023100301e-07    1.9395693801e-01    1.3420261007e-01    0.0000000000e+00    1.3420261007e-01    0.0000000000e+00    1.7266072651e-01    0.0000000000e+00
   0.3500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.3663825608e-07    1.9399909283e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.3663825608e-07    1.9399909283e-01    1.3432141198e-01    0.0000000000e+00    1.3432141198e-01    0.0000000000e+00    1.7260084766e-01    0.0000000000e+00
   0.4000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.5294642110e-07    1.9404014785e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.5294642110e-07    1.9404014785e-01    1.3445358969e-01    0.0000000000e+00    1.3445358969e-01    0.0000000000e+00    1.7253969476e-01    0.0000000000e+00
   0.4500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.6915807283e-07    1.9408014682e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.6915807283e-07    1.9408014682e-01    1.3459620679e-01    0.0000000000e+00    1.3459620679e-01    0.0000000000e+00    1.7247770641e-01    0.0000000000e+00
   0.5000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.8527560125e-07    1.9411913018e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.8527560125e-07    1.9411913018e-01    1.3474672984e-01    0.0000000000e+00    1.3474672984e-01    0.0000000000e+00    1.7241507694e-01    0.0000000000e+00
   0.5500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.0130117413e-07    1.9415713493e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.0130117413e-07    1.9415713493e-01    1.3490296822e-01    0.0000000000e+00    1.3490296822e-01    0.0000000000e+00    1.7235186012e-01    0.0000000000e+00
   0.6000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.1723670486e-07    1.9419419455e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.1723670486e-07    1.9419419455e-01    1.3506302305e-01    0.0000000000e+00    1.3506302305e-01    0.0000000000e+00    1.7228821339e-01    0.0000000000e+00
   0.6500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.3308383207e-07    1.9423033892e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.3308383207e-07    1.9423033892e-01    1.3522524375e-01    0.0000000000e+00    1.3522524375e-01    0.0000000000e+00    1.7222444095e-01    0.0000000000e+00
   0.7000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.4884389171e-07    1.9426559421e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.4884389171e-07    1.9426559421e-01    1.3538819122e-01    0.0000000000e+00    1.3538819122e-01    0.0000000000e+00    1.7216071595e-01    0.0000000000e+00
   0.7500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.6451789164e-07    1.9429998271e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.6451789164e-07    1.9429998271e-01    1.3555060659e-01    0.0000000000e+00    1.3555060659e-01    0.0000000000e+00    1.7209696254e-01    0.0000000000e+00
   0.8000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.8010649234e-07    1.9433352281e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.8010649234e-07    1.9433352281e-01    1.3571138465e-01    0.0000000000e+00    1.3571138465e-01    0.0000000000e+00    1.7203317117e-01    0.0000000000e+00
   0.8500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.9560999441e-07    1.9436622889e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.9560999441e-07    1.9436622889e-01    1.3586955141e-01    0.0000000000e+00    1.3586955141e-01    0.0000000000e+00    1.7196949541e-01    0.0000000000e+00
   0.9000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.1102833366e-07    1.9439811133e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.1102833366e-07    1.9439811133e-01    1.3602424501e-01    0.0000000000e+00    1.3602424501e-01    0.0000000000e+00    1.7190597825e-01    0.0000000000e+00
   0.9500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.2636108566e-07    1.9442917655e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.2636108566e-07    1.9442917655e-01    1.3617469959e-01    0.0000000000e+00    1.3617469959e-01    0.0000000000e+00    1.7184260581e-01    0.0000000000e+00
   1.0000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.4160747962e-07    1.9445942710e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.4160747962e-07    1.9445942710e-01    1.3632023163e-01    0.0000000000e+00    1.3632023163e-01    0.0000000000e+00    1.7177949641e-01    0.0000000000e+00
   1.0500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.5676642068e-07    1.9448886183e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.5676642068e-07    1.9448886183e-01    1.3646022835e-01    0.0000000000e+00    1.3646022835e-01    0.0000000000e+00    1.7171672266e-01    0.0000000000e+00
   1.1000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.7183652049e-07    1.9451747608e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.7183652049e-07    1.9451747608e-01    1.3659413793e-01    0.0000000000e+00    1.3659413793e-01    0.0000000000e+00    1.7165421592e-01    0.0000000000e+00
   1.1500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.8681613516e-07    1.9454526195e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.8681613516e-07    1.9454526195e-01    1.3672146120e-01    0.0000000000e+00    1.3672146120e-01    0.0000000000e+00    1.7159194508e-01    0.0000000000e+00
   1.2000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.0170340922e-07    1.9457220853e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.0170340922e-07    1.9457220853e-01    1.3684174461e-01    0.0000000000e+00    1.3684174461e-01    0.0000000000e+00    1.7152995322e-01    0.0000000000e+00
   1.2500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.1649632437e-07    1.9459830227e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.1649632437e-07    1.9459830227e-01    1.3695457425e-01    0.0000000000e+00    1.3695457425e-01    0.0000000000e+00    1.7146825678e-01    0.0000000000e+00
   1.3000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.3119275223e-07    1.9462352727e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.3119275223e-07    1.9462352727e-01    1.3705957080e-01    0.0000000000e+00    1.3705957080e-01    0.0000000000e+00    1.7140683603e-01    0.0000000000e+00
